component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225,SETP0_364625,FLW0_364625,ANLT0_364625
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.98959350585935,998.240234375,5.616697788238525,5969.12939453125,6397.71240234375,4504.86767578125,7779.16796875,6941.4609375,964.3981323242188,16714.70703125,689.4603881835938,658.0845947265625,551.83203125,668.4807739257812,559.6939086914062,810.5430297851562,328.7443542480469,3054.13818359375,1422.104736328125,463.8374938964844,63763.96875,46247.01171875,15321.1044921875,14359.9228515625,472.8738098144531,146.32388305664062,384.52685546875,294.4881896972656,116.69198608398438,139.7255401611328,138.229736328125,169.6059112548828,340.6183776855469,300.0553283691406,314.9537658691406,279.0987243652344,1488.6455078125,1144.2314453125,440.5372619628906,544.0296020507812,358.8318786621094,739.1484375,14341.677734375,14730.958984375,433.784423828125,1132.1796875,453.4430847167969,194.0600433349609,50622.546875,49673.35546875,52529.5,56209.17578125,225.43527221679688,546.0529174804688,400.0704956054688,267.75982666015625,18612.701171875,17244.072265625,14559.6787109375,16456.08984375,8020.48583984375,8453.3037109375,8564.0439453125,7569.1484375,8781,27.604394912719727,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.58174133300781,19.932382583618164,1010.831298828125,201463.265625,4.234789848327637,0,13131974,True,BME690,29823,0,0,0,13128732,24484,0,24.18828010559082,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:21.726,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.87,16.32,3700.0,3699.41,000000000DFEC3B1,30.0,29.42,22160332.0,1370.0,1368.24,21470046.0,1600.0,1594.72,22450161.0,-0.01,300.0,303.42,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.98822021484372,996.8402709960938,5.640580654144287,5969.24560546875,6397.8193359375,4505.98193359375,7778.62646484375,6941.4931640625,964.552734375,16593.267578125,689.5859375,659.2119750976562,551.2184448242188,668.29443359375,560.1599731445312,811.2637939453125,328.7646179199219,3037.442626953125,1424.015625,463.5362548828125,63764.76171875,46247.98046875,15319.9228515625,14360.318359375,472.0295104980469,146.31817626953125,384.0089111328125,294.4996643066406,116.68860626220705,139.708740234375,138.1504669189453,169.61708068847656,340.5986022949219,300.019287109375,314.91925048828125,279.13360595703125,1488.6483154296875,1144.36181640625,440.509765625,544.0617065429688,358.9641418457031,738.4412231445312,14351.068359375,14730.2294921875,433.4086608886719,1132.87939453125,453.8726196289063,194.02772521972656,50621.3203125,49669.1171875,52536.35546875,56204.94921875,225.5404052734375,546.2579345703125,400.3207092285156,267.646484375,18617.0078125,17242.060546875,14559.4267578125,16456.49609375,8020.5126953125,8454.6669921875,8564.072265625,7569.2998046875,9082,27.5238094329834,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.582075119018555,19.938461303710938,1010.8320922851562,200722.8125,4.236162185668945,0,13132415,True,BME690,29824,0,0,0,13128732,24484,0,24.18828010559082,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:22.027,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.88,16.31,3700.0,3699.41,000000000DFEC3B1,30.0,29.42,22160332.0,1370.0,1368.24,21470046.0,1600.0,1594.72,22450161.0,-0.01,300.0,303.42,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.9727783203125,994.3261108398438,5.64818000793457,5969.08154296875,6397.73388671875,4505.65185546875,7779.0576171875,6941.173828125,964.7034301757812,16668.68359375,689.2786865234375,657.8712158203125,550.4855346679688,667.3252563476562,559.8682250976562,811.9511108398438,329.0363464355469,3043.278564453125,1419.4549560546875,463.6413269042969,63762.9140625,46246.40234375,15320.6708984375,14360.009765625,472.0754699707031,146.34432983398438,383.5510559082031,294.5422058105469,116.66358184814452,139.74862670898438,138.1769256591797,169.58615112304688,340.64471435546875,300.06158447265625,314.9363708496094,279.1171264648437,1488.5234375,1144.25341796875,440.54150390625,544.100830078125,358.9264221191406,738.7268676757812,14337.4599609375,14728.515625,433.47650146484375,1133.301513671875,454.0027160644531,194.06539916992188,50618.25,49671.2109375,52533.24609375,56204.35546875,225.44479370117188,546.0989990234375,400.2493591308594,267.7644348144531,18612.416015625,17242.21875,14560.2783203125,16457.5859375,8020.9765625,8453.8642578125,8563.9697265625,7569.22314453125,9383,27.68498039245605,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.582406997680664,19.93844413757324,1010.8328857421876,201092.359375,4.236237049102783,0,13132855,True,BME690,29825,0,0,0,13128732,24484,0,24.18828010559082,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:22.326,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.88,16.31,3700.0,3699.44,000000000DFEC3B1,30.0,29.5,22160332.0,1370.0,1368.26,21470046.0,1600.0,1595.04,22450161.0,-0.01,300.0,303.42,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,191.0164337158203,999.21533203125,5.607893466949463,5968.990234375,6397.33837890625,4505.2734375,7779.61767578125,6941.34228515625,964.9087524414062,16720.189453125,689.4529418945312,658.0119018554688,550.9036865234375,668.4554443359375,560.0635375976562,810.2015991210938,328.9063415527344,3040.059814453125,1419.4625244140625,463.8551940917969,63771.22265625,46244.56640625,15319.1552734375,14359.15234375,472.4905700683594,146.31471252441406,383.921142578125,294.501953125,116.68687438964844,139.6989288330078,138.18850708007812,169.58023071289062,340.629150390625,300.0292663574219,314.90576171875,279.13946533203125,1488.782958984375,1144.2696533203125,440.512939453125,544.0491943359375,358.9012451171875,738.42041015625,14333.6669921875,14727.6005859375,433.4387512207031,1132.8221435546875,454.12255859375,194.15350341796875,50620.54296875,49671.30859375,52529.734375,56207.25,225.38015747070312,545.9322509765625,400.37115478515625,267.7988586425781,18610.765625,17241.845703125,14561.3232421875,16457.66796875,8020.52783203125,8454.046875,8563.9208984375,7569.36181640625,9684,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.582406997680664,19.93844413757324,1010.8328857421876,201092.359375,4.236237049102783,0,13132855,True,BME690,29825,0,0,0,13128732,24484,0,24.18828010559082,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:22.629,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.3,3700.0,3699.5,000000000DFEC3B1,30.0,29.67,22160332.0,1370.0,1368.31,21470046.0,1600.0,1595.78,22450161.0,-0.01,300.0,303.42,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.96310424804688,995.7713012695312,5.635690212249756,5968.73779296875,6398.04736328125,4504.75390625,7778.701171875,6941.2060546875,962.4724731445312,16800.79296875,689.5372314453125,658.1030883789062,550.9600219726562,668.0206298828125,559.877685546875,811.1757202148438,329.0478515625,3058.54345703125,1418.458251953125,463.8894958496094,63767.75390625,46247.984375,15318.7275390625,14359.0126953125,473.0173950195313,146.32855224609375,384.2713928222656,294.32916259765625,116.6942367553711,139.74285888671875,138.20004272460938,169.62171936035156,340.6588439941406,300.0369873046875,314.9237060546875,279.0665588378906,1488.7186279296875,1144.249755859375,440.5639343261719,544.015380859375,359.0111083984375,738.4227905273438,14344.822265625,14730.623046875,433.1654357910156,1133.9556884765625,453.494873046875,194.0585784912109,50626.1640625,49671.28515625,52530.359375,56204.85546875,225.4103546142578,545.7807006835938,400.48529052734375,267.8143920898437,18615.373046875,17244.912109375,14556.9208984375,16458.001953125,8020.875,8454.634765625,8563.904296875,7569.39404296875,9985,27.765565872192383,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.582406997680664,19.93844413757324,1010.8345336914062,200722.8125,4.236237049102783,0,13133296,True,BME690,29826,0,0,0,13128732,24484,0,24.18828010559082,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:22.929,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.32,3700.0,3699.56,000000000DFEC3B1,30.0,29.85,22160332.0,1370.0,1368.36,21470046.0,1600.0,1596.52,22450161.0,-0.01,300.0,303.42,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.9560394287109,996.4276123046876,5.644445896148682,5968.736328125,6397.5166015625,4505.416015625,7779.66796875,6940.51220703125,962.9902954101562,16743.91796875,689.6857299804688,659.27734375,551.0490112304688,669.400146484375,559.4530639648438,810.6102294921875,328.9938659667969,3047.9267578125,1422.934326171875,463.3345336914063,63766.9375,46247.0,15320.0224609375,14359.5908203125,472.7273559570313,146.35458374023438,384.3918762207031,294.40643310546875,116.678466796875,139.73301696777344,138.1707000732422,169.64588928222656,340.6545104980469,300.0735778808594,314.9456787109375,279.0938720703125,1488.6331787109375,1144.2501220703125,440.50537109375,544.0208129882812,358.9920654296875,737.5874633789062,14350.7958984375,14725.267578125,433.1453857421875,1136.425537109375,454.1109924316406,194.0799560546875,50623.76171875,49669.2734375,52530.15234375,56210.1484375,225.42794799804688,546.2011108398438,399.98095703125,267.66864013671875,18604.0859375,17242.28125,14559.716796875,16458.189453125,8020.82666015625,8452.544921875,8563.9013671875,7569.58447265625,10286,27.68498039245605,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.582406997680664,19.94454002380371,1010.8345336914062,202772.28125,4.237532138824463,0,13133737,True,BME690,29827,0,0,0,13133735,24484,0,24.150938034057617,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:23.238,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.34,3700.0,3699.72,000000000DFEC3B1,30.0,30.0,22160332.0,1370.0,1368.41,21470046.0,1600.0,1597.24,22450161.0,-0.0,300.0,303.47,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.99899291992188,998.0277709960938,5.643131256103516,5968.7392578125,6398.0185546875,4504.49951171875,7778.66259765625,6940.3564453125,964.5079345703124,16682.6328125,689.57177734375,658.6133422851562,551.6189575195312,668.862548828125,559.167236328125,809.6650390625,329.11724853515625,3037.705810546875,1418.0758056640625,463.3212890625,63767.3984375,46244.81640625,15321.9794921875,14359.6240234375,472.6177978515625,146.33950805664062,384.1222534179688,294.31719970703125,116.70935821533205,139.73800659179688,138.20309448242188,169.64308166503906,340.6632080078125,300.081787109375,314.9110107421875,279.0911560058594,1488.616455078125,1144.2760009765625,440.52923583984375,544.0703735351562,359.0165100097656,738.134033203125,14348.0654296875,14726.8271484375,433.4044494628906,1131.416015625,454.1043701171875,193.9742889404297,50624.66796875,49672.46875,52529.59765625,56205.26171875,225.3990631103516,545.9871826171875,400.1851806640625,267.7719421386719,18610.421875,17242.666015625,14559.9189453125,16456.857421875,8020.7431640625,8452.9013671875,8564.28515625,7569.63037109375,10587,27.765565872192383,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.582406997680664,19.94454002380371,1010.8345336914062,202772.28125,4.237532138824463,0,13133737,True,BME690,29827,0,0,0,13133735,24484,0,24.150938034057617,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:23.532,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.36,3700.0,3700.46,000000000DFEC3B1,30.0,29.98,22160332.0,1370.0,1368.45,21470046.0,1600.0,1597.59,22450161.0,-0.01,300.0,303.84,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,191.0025329589844,996.1917114257812,5.601631164550781,5968.4306640625,6397.462890625,4504.70068359375,7778.46435546875,6941.4658203125,966.7208251953124,16712.048828125,689.2811279296875,659.1904296875,550.5764770507812,669.11669921875,559.0748901367188,809.8076171875,328.98162841796875,3058.51171875,1422.9002685546875,463.6697082519531,63770.1875,46241.27734375,15318.251953125,14360.34765625,473.1354064941406,146.3270721435547,384.0968017578125,294.5148010253906,116.67475128173828,139.77200317382812,138.17840576171875,169.6291046142578,340.6654663085937,300.0343322753906,314.9583435058594,279.0870056152344,1488.591552734375,1144.2596435546875,440.5052490234375,544.0753173828125,359.0731811523437,737.6040649414062,14339.1943359375,14728.005859375,433.3096008300781,1135.50732421875,453.7478942871094,194.0638427734375,50618.76953125,49671.09765625,52526.41015625,56206.55859375,225.4605407714844,545.9946899414062,400.1043701171875,267.6737670898437,18610.205078125,17239.65625,14556.349609375,16457.88671875,8020.5703125,8453.57421875,8564.2568359375,7569.58349609375,10888,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.582406997680664,19.94454002380371,1010.7700805664062,201649.234375,4.237532138824463,0,13134178,True,BME690,29828,0,0,0,13133735,24484,0,24.150938034057617,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:23.833,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.89,16.37,3700.0,3701.22,000000000DFEC3B1,30.0,29.96,22160332.0,1370.0,1368.5,21470046.0,1600.0,1597.95,22450161.0,-0.01,300.0,304.22,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.96875,996.6115112304688,5.658238887786865,5968.63916015625,6397.615234375,4504.05859375,7778.33447265625,6941.66015625,965.0299072265624,16688.705078125,689.8140869140625,658.9950561523438,550.8525390625,669.3788452148438,559.825439453125,810.8683471679688,329.0263671875,3054.643310546875,1421.017333984375,463.4940185546875,63764.16796875,46241.3984375,15318.642578125,14358.9375,473.3816528320313,146.31289672851562,383.8338317871094,294.5082702636719,116.6714096069336,139.72618103027344,138.1622314453125,169.6143341064453,340.65350341796875,300.0713195800781,314.9324645996094,279.075927734375,1488.5130615234375,1144.2052001953125,440.488525390625,544.0449829101562,358.93072509765625,736.7310791015625,14338.876953125,14729.697265625,433.5226135253906,1132.7830810546875,453.5552062988281,194.0899200439453,50614.6015625,49670.16015625,52525.6328125,56205.265625,225.4581756591797,545.7822265625,399.9608154296875,267.7384338378906,18606.986328125,17244.05859375,14552.0498046875,16456.109375,8020.6640625,8453.44140625,8563.923828125,7569.50439453125,11189,27.68498039245605,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.582075119018555,19.944555282592773,1010.7098388671876,202022.203125,4.237456321716309,0,13134618,True,BME690,29829,0,0,0,13133735,24484,0,24.150938034057617,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:24.133,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.88,16.39,3700.0,3701.97,000000000DFEC3B1,30.0,29.95,22160332.0,1370.0,1368.55,21470046.0,1600.0,1598.3,22450161.0,-0.01,300.0,304.59,000000000DFEC3B8
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,d9eeca94-41a9-458c-9afb-ae0c344b822c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,190.97882080078125,996.1002197265624,5.644335746765137,5968.68994140625,6397.333984375,4504.50048828125,7778.5712890625,6942.1201171875,964.553955078125,16760.962890625,689.7555541992188,657.9342651367188,551.3555908203125,668.9672241210938,559.5631713867188,809.0044555664062,329.0831604003906,3048.07421875,1420.16748046875,463.55615234375,63758.6875,46244.796875,15319.11328125,14359.05078125,473.1867370605469,146.3505096435547,383.7113037109375,294.3613586425781,116.67473602294922,139.7306365966797,138.21083068847656,169.5726776123047,340.6278381347656,300.0541687011719,314.9173889160156,279.13427734375,1488.5164794921875,1144.257568359375,440.5013122558594,544.05029296875,358.85528564453125,736.0225219726562,14340.986328125,14731.033203125,433.5579223632813,1132.8231201171875,453.64654541015625,194.0952606201172,50615.67578125,49669.8203125,52529.375,56203.60546875,225.47698974609372,545.99609375,400.09185791015625,267.7856140136719,18605.919921875,17241.013671875,14560.861328125,16456.716796875,8020.58056640625,8453.330078125,8564.1962890625,7569.29541015625,11491,27.5238094329834,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.582075119018555,19.938461303710938,1010.66357421875,202584.234375,4.236162185668945,0,13135059,True,BME690,29830,0,0,0,13133735,24484,0,24.150938034057617,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 28, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:11:24.438,"{'cid': '11e37024-17bf-4906-8d56-a921f77747e1', 'uuid': '2801a550-6705-49cd-b3dc-41077fd03301', 'annotationId': 'd9eeca94-41a9-458c-9afb-ae0c344b822c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418281250, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:11:21.469Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.88,16.41,3700.0,3700.2,000000000DFEC3B1,30.0,29.94,22160332.0,1370.0,1368.67,21470046.0,1600.0,1598.36,22450161.0,-0.01,300.0,304.98,000000000DFEC3B8
