component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225,SETP0_184225,FLW0_184225,ANLT0_184225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,693.8572998046875,603.0232543945312,5092.18505859375,6557.17236328125,4236.50048828125,4025.49755859375,6939.26025390625,6596.12890625,275.2622375488281,10237.8642578125,8008.32763671875,2561.998291015625,1889.3052978515625,2065.949951171875,22537.205078125,14532.99609375,672.9511108398438,1900.7529296875,7391.458984375,775.2517700195312,84114.3359375,60017.66796875,19041.49609375,17587.412109375,112.35468292236328,126.49979400634766,1191.173583984375,1361.4285888671875,105.9662857055664,121.37865447998048,527.5087280273438,648.6439208984375,371.4552612304688,399.3883972167969,360.7783203125,317.5301818847656,3485.397705078125,2149.830078125,911.0928955078124,741.0401000976562,879.9447021484375,5255.60400390625,7203.05322265625,8415.650390625,27572.69140625,874.1856079101562,965.7646484375,1087.70263671875,85171.2421875,86279.6640625,68866.328125,72267.078125,42236.62109375,237.1797332763672,511.8063354492188,229.69598388671875,21096.994140625,17038.720703125,15164.5419921875,15866.0869140625,7264.8623046875,6895.75732421875,6465.51513671875,5953.708984375,10149,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85160446166992,19.9832763671875,993.9082641601562,92226.2890625,4.311160087585449,0,184770258,True,BME690,419717,0,0,0,184766058,24484,0,27.195072174072266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:23.190,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.39,1100.0,1097.76,21470046.0,1600.0,1594.4,22450161.0,3700.0,3697.27,000000000DFEC3B1,300.0,289.45,000000000DFEC3B8,-0.0,300.0,299.66,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,695.090576171875,603.3570556640625,5091.89111328125,6558.0166015625,4236.00634765625,4025.726318359375,6939.40087890625,6597.57470703125,275.3939208984375,10212.056640625,7992.67041015625,2559.78515625,1884.7401123046875,2063.6884765625,22644.5390625,14515.015625,672.8194580078125,1900.2103271484373,7400.42333984375,775.2163696289062,84106.2109375,60020.46875,19037.44140625,17578.326171875,112.34651184082033,126.47378540039062,1189.643310546875,1355.2525634765625,105.94448852539062,121.3576202392578,527.9182739257812,648.7398071289062,371.5220947265625,399.4609680175781,360.768798828125,317.5272521972656,3484.260986328125,2149.95654296875,911.1634521484376,741.08837890625,878.7010498046875,5261.59423828125,7200.40283203125,8415.173828125,27542.84375,873.9736938476562,967.3429565429688,1087.1771240234375,85159.7578125,86281.5390625,68872.09375,72267.3984375,42402.953125,237.18960571289065,511.9718933105469,229.6591339111328,21098.31640625,17038.00390625,15163.244140625,15864.537109375,7265.291015625,6895.0771484375,6465.02294921875,5953.57470703125,10450,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85226058959961,19.98324584960937,993.908203125,92070.8125,4.311314105987549,0,184770698,True,BME690,419718,0,0,0,184766058,24484,0,27.195072174072266,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:23.494,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.42,1100.0,1097.76,21470046.0,1600.0,1594.4,22450161.0,3700.0,3697.27,000000000DFEC3B1,300.0,289.45,000000000DFEC3B8,-0.0,300.0,299.66,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,694.5176391601562,603.279296875,5092.73486328125,6557.4873046875,4235.16259765625,4025.501220703125,6937.2509765625,6596.87353515625,275.3204345703125,10243.2861328125,7992.68603515625,2560.3095703125,1890.06689453125,2063.91064453125,22711.6875,14445.703125,672.5701904296875,1896.6558837890625,7411.63037109375,774.8956909179688,84100.3515625,60021.59765625,19040.69140625,17579.185546875,112.36436462402344,126.47180938720705,1188.8809814453125,1358.28857421875,105.95084381103516,121.35176849365234,527.8673095703125,648.29296875,371.4415893554688,399.4278869628906,360.773681640625,317.5206604003906,3486.3798828125,2149.77978515625,911.185791015625,741.0691528320312,879.5623779296875,5265.7724609375,7199.96875,8415.828125,27575.185546875,873.9625854492188,966.9073486328124,1086.3720703125,85174.8984375,86279.515625,68864.8671875,72262.3203125,42581.47265625,237.2446136474609,511.5165710449219,229.63584899902344,21098.416015625,17038.294921875,15164.912109375,15866.251953125,7265.171875,6895.9306640625,6464.69482421875,5953.64453125,10751,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85226058959961,20.00070571899414,993.9065551757812,91915.8515625,4.315080642700195,0,184771138,True,BME690,419719,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:23.793,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.46,1100.0,1098.01,21470046.0,1600.0,1595.3,22450161.0,3700.0,3697.36,000000000DFEC3B1,300.0,290.53,000000000DFEC3B8,-0.0,300.0,299.66,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,694.3009033203125,602.9278564453125,5092.52392578125,6557.72216796875,4235.40234375,4025.473876953125,6937.8017578125,6598.61328125,275.3855285644531,10246.37109375,8014.7607421875,2560.79931640625,1882.912109375,2063.8740234375,22791.6875,14437.7060546875,672.4472045898438,1899.334228515625,7392.1611328125,775.4848022460938,84094.6640625,60021.58984375,19038.994140625,17577.412109375,112.38402557373048,126.5173797607422,1188.48095703125,1355.5321044921875,105.9638900756836,121.34162139892578,528.0240478515625,648.3274536132812,371.46722412109375,399.4140319824219,360.833251953125,317.5659484863281,3485.959716796875,2150.115478515625,911.3197021484376,741.018310546875,880.8173217773438,5263.591796875,7202.9609375,8416.75390625,27558.0234375,873.91259765625,966.2258911132812,1087.195068359375,85168.9921875,86292.6953125,68865.0546875,72260.3359375,42789.48046875,237.17236328125,511.59661865234375,229.59901428222656,21097.078125,17036.0703125,15164.8525390625,15865.404296875,7265.8359375,6895.8076171875,6465.00830078125,5953.3583984375,11052,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85226058959961,20.00070571899414,993.9065551757812,91915.8515625,4.315080642700195,0,184771138,True,BME690,419719,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:24.093,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.49,1100.0,1098.32,21470046.0,1600.0,1596.39,22450161.0,3700.0,3697.48,000000000DFEC3B1,300.0,291.87,000000000DFEC3B8,-0.0,300.0,299.65,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,695.125,602.8255615234375,5093.38818359375,6559.68017578125,4235.86865234375,4025.11962890625,6937.6484375,6598.7421875,275.40447998046875,10268.3203125,7999.4404296875,2561.360595703125,1885.848388671875,2065.868408203125,22668.4921875,14502.951171875,672.803466796875,1899.0804443359373,7393.9580078125,774.64208984375,84108.28125,60019.1640625,19034.720703125,17574.5859375,112.33055877685548,126.51643371582033,1191.2156982421875,1356.3004150390625,105.91989135742188,121.38301849365234,527.4771118164062,648.8318481445312,371.4542541503906,399.4625854492188,360.6814575195313,317.5642395019531,3485.074951171875,2150.498291015625,911.175537109375,741.0343017578125,880.5455932617188,5259.6240234375,7203.5576171875,8415.7255859375,27551.021484375,874.0017700195312,966.2908325195312,1085.7442626953125,85160.0859375,86284.5859375,68864.265625,72257.1640625,42630.76171875,237.168701171875,512.0687255859375,229.64382934570312,21097.49609375,17037.751953125,15164.8876953125,15866.078125,7265.71044921875,6895.35693359375,6464.9267578125,5953.4521484375,11353,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.85193252563477,20.006542205810547,993.90576171875,92070.8125,4.316258907318115,0,184771578,True,BME690,419720,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:24.395,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.82,17.49,1100.0,1098.63,21470046.0,1600.0,1597.49,22450161.0,3700.0,3697.59,000000000DFEC3B1,300.0,293.21,000000000DFEC3B8,-0.0,300.0,299.65,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,695.3430786132812,603.0559692382812,5091.69580078125,6557.99169921875,4234.50732421875,4025.73291015625,6939.19970703125,6597.06689453125,275.2459411621094,10266.2265625,8023.25927734375,2559.05517578125,1893.460205078125,2065.240478515625,22774.9296875,14532.404296875,673.2273559570312,1899.388916015625,7380.6513671875,775.1007080078125,84101.53125,60011.81640625,19038.2109375,17574.978515625,112.31605529785156,126.48806762695312,1189.381103515625,1356.8154296875,105.98405456542967,121.3145523071289,527.5894775390625,649.013916015625,371.4563598632813,399.44146728515625,360.7400512695313,317.5659484863281,3486.025390625,2150.010009765625,911.1854248046876,741.0872192382812,882.2149047851562,5262.38037109375,7201.6748046875,8416.033203125,27575.8359375,874.2161254882812,965.8240356445312,1086.5303955078125,85172.0078125,86285.375,68865.609375,72256.9453125,42537.59765625,237.16665649414065,512.1184692382812,229.69952392578125,21098.2421875,17038.29296875,15164.05078125,15864.859375,7265.82666015625,6895.14208984375,6465.177734375,5953.3466796875,11654,27.36263656616211,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.852588653564453,19.989051818847656,993.8462524414062,92070.8125,4.312646389007568,0,184772018,True,BME690,419721,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:24.697,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.83,17.48,1100.0,1098.86,21470046.0,1600.0,1598.25,22450161.0,3700.0,3697.71,000000000DFEC3B1,300.0,294.28,000000000DFEC3B8,-0.0,300.0,299.72,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,694.7688598632812,603.1075439453125,5091.10009765625,6557.8701171875,4236.328125,4025.181640625,6938.2177734375,6598.64599609375,275.3902282714844,10252.52734375,8019.375,2559.304443359375,1889.0709228515625,2065.150146484375,22824.203125,14442.31640625,672.9953002929688,1901.847412109375,7398.716796875,774.621337890625,84083.140625,60013.19140625,19039.236328125,17581.515625,112.31187438964844,126.52800750732422,1187.39013671875,1354.419677734375,105.92142486572266,121.3545150756836,528.0960083007812,648.9423217773438,371.4246215820313,399.4127502441406,360.7280883789063,317.50665283203125,3484.260498046875,2150.3193359375,911.28515625,741.0146484375,880.2200927734375,5252.99609375,7201.47412109375,8416.2119140625,27601.49609375,874.0642700195312,966.0909423828124,1084.3697509765625,85175.9765625,86269.890625,68864.2890625,72246.7890625,42479.0546875,237.2174530029297,511.7276306152344,229.7114715576172,21099.044921875,17038.544921875,15165.6689453125,15864.7177734375,7266.236328125,6894.7421875,6465.1640625,5953.32958984375,11955,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.852588653564453,19.989051818847656,993.8462524414062,92070.8125,4.312646389007568,0,184772018,True,BME690,419721,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:24.997,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,17.47,1100.0,1098.99,21470046.0,1600.0,1598.6,22450161.0,3700.0,3697.83,000000000DFEC3B1,300.0,295.01,000000000DFEC3B8,-0.0,300.0,299.87,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,694.9869384765625,602.7659301757812,5093.09228515625,6557.85986328125,4234.68896484375,4025.431396484375,6938.81103515625,6599.16650390625,275.1281433105469,10228.4443359375,7985.97509765625,2561.23046875,1894.914306640625,2065.291748046875,22978.896484375,14478.4072265625,672.595703125,1899.7921142578125,7408.47119140625,775.0614624023438,84091.8984375,60019.2421875,19036.82421875,17579.83984375,112.37141418457033,126.51976013183594,1186.005126953125,1355.341796875,105.9645767211914,121.40547943115234,527.7490844726562,648.8074951171875,371.4183349609375,399.4655151367188,360.6313781738281,317.54119873046875,3484.506591796875,2149.8447265625,911.2859497070312,741.0020141601562,881.2926025390625,5261.244140625,7199.48583984375,8415.6669921875,27588.734375,874.072021484375,966.8167724609376,1086.1004638671875,85169.90625,86281.3984375,68872.4765625,72254.6953125,42193.328125,237.18521118164065,511.8429565429688,229.6549224853516,21098.662109375,17038.84765625,15166.5673828125,15865.720703125,7266.0966796875,6894.88330078125,6465.2568359375,5953.46142578125,12256,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.852588653564453,19.989051818847656,993.7901000976562,91915.8515625,4.312646389007568,0,184772458,True,BME690,419722,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:25.299,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,17.48,1100.0,1099.12,21470046.0,1600.0,1598.96,22450161.0,3700.0,3697.94,000000000DFEC3B1,300.0,295.74,000000000DFEC3B8,-0.0,300.0,300.02,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,694.9866333007812,602.8517456054688,5092.41796875,6558.0908203125,4235.53271484375,4025.555908203125,6938.41064453125,6598.95654296875,275.1602478027344,10231.6748046875,8023.0087890625,2560.071044921875,1885.41064453125,2067.151611328125,23201.96875,14527.994140625,673.3389282226562,1900.39697265625,7389.40966796875,775.6436157226562,84087.1015625,60015.15234375,19037.46875,17594.3046875,112.32194519042967,126.501220703125,1188.1671142578125,1354.97119140625,105.94403076171876,121.35032653808594,527.690185546875,649.1743774414062,371.4877014160156,399.4285278320313,360.680908203125,317.5179748535156,3485.27880859375,2149.558349609375,911.2842407226562,741.1229858398438,879.4473266601562,5267.65771484375,7204.6982421875,8415.82421875,27542.80859375,874.0632934570312,967.5551147460938,1087.600341796875,85171.5234375,86277.828125,68863.1796875,72255.7890625,42063.68359375,237.23634338378903,511.5319519042969,229.7050628662109,21097.60546875,17038.5703125,15165.158203125,15864.490234375,7266.38916015625,6894.8984375,6465.177734375,5953.28271484375,12557,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.852588653564453,19.983232498168945,993.7421875,92382.2890625,4.311390399932861,0,184772899,True,BME690,419723,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:25.605,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,17.52,1100.0,1099.26,21470046.0,1600.0,1599.21,22450161.0,3700.0,3698.07,000000000DFEC3B1,300.0,296.74,000000000DFEC3B8,-0.0,300.0,300.15,22160332.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0a4626f9-0e44-40b5-9e29-e8cd6fd046b2,de4335f8-2d8f-494f-a206-cca1d5d280e6,693.7899169921875,603.10791015625,5092.26513671875,6558.5263671875,4235.30517578125,4025.60595703125,6937.8994140625,6596.7958984375,275.33526611328125,10274.1943359375,8000.99658203125,2559.586181640625,1886.3795166015625,2066.2373046875,23013.9296875,14436.0283203125,672.93994140625,1896.2484130859373,7398.57470703125,774.9296264648438,84090.0546875,60015.69140625,19037.322265625,17592.80078125,112.3155746459961,126.50080108642578,1189.8355712890625,1356.1446533203125,105.94012451171876,121.32931518554688,527.6348266601562,648.9235229492188,371.45123291015625,399.423583984375,360.6453552246094,317.51983642578125,3484.331298828125,2149.75048828125,911.3604736328124,741.031982421875,878.8489379882812,5261.62451171875,7203.5625,8416.619140625,27547.57421875,874.0053100585938,968.8216552734376,1087.9735107421875,85178.796875,86270.953125,68862.3671875,72254.09375,42188.109375,237.24215698242188,512.53857421875,229.68927001953125,21096.927734375,17039.466796875,15163.87890625,15864.90234375,7265.740234375,6894.92041015625,6465.13623046875,5953.58349609375,12858,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.852588653564453,19.983232498168945,993.7421875,92382.2890625,4.311390399932861,0,184772899,True,BME690,419723,0,0,0,184771061,24484,0,26.778566360473636,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 18, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 00:09:25.901,"{'cid': '0742b55f-7854-48d9-8145-e34a113b4297', 'uuid': 'aa220d30-0a49-436c-a3e1-dad782d48a00', 'annotationId': '0a4626f9-0e44-40b5-9e29-e8cd6fd046b2', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773274162632, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-12T00:09:22.857Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,17.56,1100.0,1099.39,21470046.0,1600.0,1598.72,22450161.0,3700.0,3698.23,000000000DFEC3B1,300.0,299.52,000000000DFEC3B8,-0.0,300.0,300.05,22160332.0
