component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225,T0_093225,H0_093225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,700.3815307617188,592.8366088867188,5153.66064453125,6640.18408203125,4285.7783203125,4070.63720703125,7081.35498046875,6741.2197265625,264.7243347167969,9771.1650390625,7845.36669921875,2537.5068359375,1889.731689453125,2051.72216796875,22262.59765625,14974.390625,630.2433471679688,1822.292236328125,7386.751953125,765.2877807617188,84674.3671875,60393.75,18958.28515625,17551.33203125,111.09703826904295,124.765625,1160.6318359375,1230.9139404296875,105.5022201538086,120.8761215209961,523.400146484375,642.517578125,375.841064453125,404.2268981933594,360.44439697265625,318.2989807128906,3509.15380859375,2158.687744140625,904.9434204101562,736.451171875,880.2265625,5272.1796875,7269.533203125,8499.111328125,21112.7734375,798.71435546875,917.8887329101562,1028.1370849609375,86241.0,87345.359375,69609.484375,72998.2734375,39709.515625,225.4096221923828,474.8174133300781,216.2546539306641,21035.986328125,16997.9921875,15136.966796875,15836.021484375,7401.52001953125,7030.64208984375,6602.20458984375,6084.318359375,10043,27.604394912719727,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.86473274230957,23.164825439453125,987.5204467773438,132049.15625,5.001263618469238,0,9124101,True,BME690,20718,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:23.154,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.54,22160332.0,1175.0,1174.08,21470046.0,300.0,305.86,000000000DFEC3B8,3700.0,3699.12,000000000DFEC3B1,1600.0,1592.64,22450161.0,-0.0,22.49,20.74
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,699.9959106445312,593.035400390625,5153.6484375,6639.73388671875,4286.271484375,4070.406494140625,7081.25390625,6731.71142578125,264.7391052246094,9714.0087890625,7833.13916015625,2537.408203125,1893.2835693359373,2049.944580078125,22269.474609375,14991.662109375,630.2991333007812,1819.253173828125,7354.3583984375,765.539306640625,84656.5546875,60386.60546875,18954.431640625,17552.4140625,111.1524429321289,124.80240631103516,1159.52392578125,1233.3072509765625,105.48786926269533,120.86090850830078,523.6314697265625,642.1502685546875,375.8175659179688,404.33349609375,360.58209228515625,318.3083190917969,3509.391357421875,2157.88330078125,904.8694458007812,736.457275390625,878.9348754882812,5267.48046875,7268.68115234375,8498.7412109375,21109.724609375,799.1314697265625,918.8528442382812,1026.6397705078125,86232.65625,87354.859375,69613.8359375,73003.875,39804.71484375,225.4371032714844,474.3768310546875,216.17144775390625,21036.26953125,16999.40625,15136.814453125,15835.60546875,7402.50244140625,7031.08056640625,6602.21533203125,6084.3701171875,10344,27.604394912719727,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.86506080627441,23.1822566986084,987.5179443359376,131810.140625,5.005120754241943,0,9124542,True,BME690,20719,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:23.455,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.54,22160332.0,1175.0,1174.08,21470046.0,300.0,305.86,000000000DFEC3B8,3700.0,3699.12,000000000DFEC3B1,1600.0,1592.64,22450161.0,-0.0,22.49,20.74
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,701.507568359375,592.4839477539062,5154.279296875,6639.90283203125,4286.79931640625,4070.90087890625,7080.17431640625,6734.27294921875,264.57769775390625,9736.8232421875,7819.65966796875,2537.54736328125,1890.487548828125,2051.2138671875,22147.345703125,14942.7744140625,629.6599731445312,1820.16015625,7326.41943359375,765.9348754882812,84668.8359375,60398.22265625,18951.771484375,17555.904296875,111.12821197509766,124.80400848388672,1158.5740966796875,1230.610107421875,105.4644775390625,120.87479400634766,523.1697998046875,642.375,375.71728515625,404.345458984375,360.4882507324219,318.25262451171875,3509.30859375,2158.508056640625,904.7760009765624,736.4734497070312,879.9284057617188,5256.13330078125,7268.33642578125,8498.80859375,21137.6875,798.8804321289062,917.9131469726562,1027.9769287109375,86239.6953125,87357.3984375,69618.9765625,73001.7890625,39451.3671875,225.4710235595703,474.9657287597656,216.2328948974609,21036.240234375,16998.76953125,15136.896484375,15839.55078125,7401.6298828125,7031.478515625,6602.4560546875,6084.3818359375,10645,27.604394912719727,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.86506080627441,23.1822566986084,987.5179443359376,131810.140625,5.005120754241943,0,9124542,True,BME690,20719,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:23.756,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.56,22160332.0,1175.0,1173.98,21470046.0,300.0,305.51,000000000DFEC3B8,3700.0,3699.1,000000000DFEC3B1,1600.0,1593.25,22450161.0,-0.0,22.49,20.74
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,698.8715209960938,592.8567504882812,5154.26220703125,6640.1748046875,4285.75732421875,4070.4775390625,7081.87451171875,6732.82421875,264.5238952636719,9747.5546875,7825.89453125,2537.101318359375,1891.56103515625,2051.208984375,22181.80078125,15037.3251953125,630.4147338867188,1818.0289306640625,7385.923828125,765.5671997070312,84684.4453125,60382.0078125,18950.603515625,17556.857421875,111.15885925292967,124.81080627441406,1159.7237548828125,1230.00537109375,105.47457885742188,120.84362030029295,523.3355712890625,641.63671875,375.8061828613281,404.3302307128906,360.4917907714844,318.2520446777344,3509.917236328125,2158.702880859375,904.8832397460938,736.4363403320312,879.1370239257812,5268.541015625,7268.68115234375,8499.25390625,21137.087890625,798.9864501953125,918.4242553710938,1027.8482666015625,86234.3515625,87350.953125,69614.140625,72999.328125,39733.79296875,225.4261016845703,474.802734375,216.2997283935547,21035.890625,16998.833984375,15137.0751953125,15835.740234375,7401.859375,7029.83251953125,6602.1513671875,6084.36865234375,10946,27.5238094329834,29.538461685180664,0,0,0,0,0,0,0,0,0,0,0,1,23.86473274230957,23.182270050048828,987.518798828125,130005.953125,5.005030155181885,0,9124983,True,BME690,20720,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:24.058,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.61,22160332.0,1175.0,1173.69,21470046.0,300.0,304.47,000000000DFEC3B8,3700.0,3699.04,000000000DFEC3B1,1600.0,1595.12,22450161.0,-0.0,22.49,20.78
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,699.1937255859375,592.597412109375,5154.4482421875,6639.6328125,4285.740234375,4070.5166015625,7081.53369140625,6737.89404296875,264.5800170898437,9763.3515625,7837.8603515625,2535.322998046875,1889.8792724609373,2049.560302734375,22299.986328125,15039.73828125,630.3825073242188,1820.6212158203125,7356.6669921875,765.605224609375,84684.390625,60390.42578125,18947.09765625,17558.78125,111.11530303955078,124.78099060058594,1162.78759765625,1230.4508056640625,105.4980697631836,120.85191345214844,522.9791870117188,642.98779296875,375.80999755859375,404.3388366699219,360.4882507324219,318.2461853027344,3509.874267578125,2158.473388671875,905.0210571289062,736.5297241210938,878.4296264648438,5263.91845703125,7268.67626953125,8499.4345703125,21150.009765625,799.1907958984375,919.05029296875,1027.58740234375,86240.125,87354.5546875,69616.1953125,73004.578125,40017.59375,225.42433166503903,475.17913818359375,216.23443603515625,21037.212890625,16999.060546875,15136.7197265625,15837.0439453125,7402.41650390625,7031.00927734375,6602.6103515625,6084.90087890625,11247,27.44322204589844,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.864404678344727,23.182283401489254,987.5197143554688,131255.765625,5.004940509796143,0,9125423,True,BME690,20721,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:24.357,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.67,22160332.0,1175.0,1173.41,21470046.0,300.0,303.44,000000000DFEC3B8,3700.0,3698.98,000000000DFEC3B1,1600.0,1596.97,22450161.0,-0.0,22.5,20.83
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,699.0614624023438,593.0287475585938,5154.71630859375,6640.568359375,4286.14697265625,4070.4140625,7081.0283203125,6733.39013671875,264.6265869140625,9736.2939453125,7836.615234375,2537.750244140625,1889.055419921875,2051.066650390625,22265.84765625,15051.8427734375,630.2743530273438,1820.688720703125,7389.9384765625,765.61376953125,84670.109375,60394.01171875,18943.37890625,17559.212890625,111.09386444091795,124.79832458496094,1163.38330078125,1230.2933349609375,105.44041442871094,120.8498992919922,523.2337036132812,641.985107421875,375.8147583007813,404.3317565917969,360.5714416503906,318.2690124511719,3510.4609375,2158.55322265625,905.1097412109376,736.4620971679688,880.1838989257812,5259.27685546875,7269.60498046875,8499.8603515625,21153.333984375,798.9951782226562,918.3317260742188,1027.9464111328125,86242.0390625,87352.21875,69614.78125,72995.7734375,39882.46484375,225.4297332763672,474.8945617675781,216.23802185058597,21036.798828125,16998.9375,15136.97265625,15835.875,7401.2880859375,7031.1923828125,6602.41650390625,6085.32861328125,11548,27.604394912719727,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.864404678344727,23.182283401489254,987.5197143554688,131255.765625,5.004940509796143,0,9125423,True,BME690,20721,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:24.662,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.72,22160332.0,1175.0,1173.12,21470046.0,300.0,302.39,000000000DFEC3B8,3700.0,3698.93,000000000DFEC3B1,1600.0,1598.86,22450161.0,-0.0,22.51,20.89
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,699.10302734375,591.9915771484375,5153.85546875,6640.4765625,4286.31982421875,4070.783935546875,7080.23974609375,6733.93310546875,264.6098022460937,9749.37109375,7824.44287109375,2534.466064453125,1886.4833984375,2050.345947265625,22245.984375,15003.9169921875,630.720458984375,1820.4720458984373,7341.7705078125,765.7791748046875,84660.9609375,60391.10546875,18939.2734375,17555.625,111.1164779663086,124.79537963867188,1162.9613037109375,1228.0140380859375,105.49942779541016,120.8652572631836,522.7391357421875,642.6319580078125,375.7684020996094,404.296142578125,360.5885314941406,318.2752380371094,3509.34619140625,2158.49365234375,904.9554443359376,736.4681396484375,878.1983032226562,5265.7939453125,7268.25048828125,8499.0068359375,21155.125,798.8777465820312,916.26025390625,1028.2374267578125,86235.4765625,87353.203125,69615.6953125,73000.375,39831.1015625,225.46026611328125,474.5505065917969,216.2484130859375,21036.296875,16998.73046875,15136.703125,15836.1494140625,7402.3876953125,7031.35888671875,6602.615234375,6083.76025390625,11849,27.5238094329834,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.864404678344727,23.18809700012207,987.4586181640624,130784.2734375,5.006195068359375,0,9125864,True,BME690,20722,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:24.961,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.65,22160332.0,1175.0,1173.34,21470046.0,300.0,301.36,000000000DFEC3B8,3700.0,3699.01,000000000DFEC3B1,1600.0,1599.04,22450161.0,-0.0,22.51,20.93
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,698.8756103515625,592.416748046875,5154.17822265625,6639.6962890625,4286.73095703125,4070.75439453125,7081.16552734375,6730.72216796875,264.5974426269531,9733.2431640625,7857.18701171875,2537.615478515625,1889.541015625,2051.6962890625,22314.70703125,14919.294921875,630.3958740234375,1818.8572998046875,7347.6298828125,765.845703125,84632.3046875,60385.38671875,18953.892578125,17550.220703125,111.15445709228516,124.81629180908205,1162.025634765625,1229.4552001953125,105.47879791259766,120.87059783935548,523.1666870117188,642.9932250976562,375.8224487304688,404.4284362792969,360.62542724609375,318.1672058105469,3509.3251953125,2158.848876953125,905.0423583984376,736.4616088867188,879.1849975585938,5261.25732421875,7268.74609375,8499.0654296875,21145.150390625,799.048095703125,916.7352294921876,1025.8177490234375,86237.0625,87345.3125,69622.0390625,73007.6953125,39769.92578125,225.36204528808597,474.3304443359375,216.1862030029297,21036.357421875,17000.591796875,15137.87109375,15837.1474609375,7402.16650390625,7030.009765625,6602.60693359375,6084.9384765625,12150,27.44322204589844,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.86473274230957,23.19389915466309,987.4048461914062,131413.6875,5.007540702819824,0,9126304,True,BME690,20723,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:25.262,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.59,22160332.0,1175.0,1173.55,21470046.0,300.0,300.33,000000000DFEC3B8,3700.0,3699.1,000000000DFEC3B1,1600.0,1599.21,22450161.0,0.0,22.51,20.95
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,699.078125,592.6472778320312,5153.1650390625,6639.841796875,4286.58642578125,4070.5869140625,7079.9404296875,6733.00634765625,264.6944274902344,9725.6640625,7869.73095703125,2537.75537109375,1886.0025634765625,2050.5126953125,22336.58203125,15003.4013671875,629.9182739257812,1819.8179931640625,7381.06201171875,766.072998046875,84646.4375,60386.34765625,18955.90234375,17555.443359375,111.1409912109375,124.79521942138672,1161.6612548828125,1230.019287109375,105.4722137451172,120.84117889404295,523.3026123046875,643.03955078125,375.7804565429688,404.2932434082031,360.5148315429688,318.27813720703125,3510.09130859375,2158.582763671875,904.969482421875,736.4475708007812,879.9180297851562,5247.8828125,7270.04150390625,8499.1591796875,21152.259765625,798.979248046875,917.6561279296876,1027.4088134765625,86249.2734375,87348.9296875,69628.984375,73000.625,39830.6796875,225.50282287597656,474.39849853515625,216.1846923828125,21035.802734375,16999.3515625,15137.64453125,15837.787109375,7401.71484375,7031.14697265625,6602.5654296875,6085.23046875,12453,27.604394912719727,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.86473274230957,23.19389915466309,987.4048461914062,131413.6875,5.007540702819824,0,9126304,True,BME690,20723,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:25.566,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.53,22160332.0,1175.0,1173.77,21470046.0,300.0,299.28,000000000DFEC3B8,3700.0,3699.19,000000000DFEC3B1,1600.0,1599.38,22450161.0,0.0,22.5,20.98
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fb24a47a-400e-487d-b638-278334b46b63,10c0f871-c230-4501-b91f-5028615cfa1c,698.9869995117188,592.5111083984375,5153.42578125,6639.63134765625,4286.57421875,4070.582763671875,7080.45263671875,6737.7421875,264.4376525878906,9727.728515625,7901.56787109375,2541.392333984375,1891.4532470703125,2052.634765625,22271.87890625,14916.6103515625,629.8717651367188,1819.9971923828125,7383.9306640625,765.9894409179688,84642.5234375,60385.19921875,18951.970703125,17550.45703125,111.14546966552734,124.8014907836914,1163.527099609375,1231.1019287109375,105.48705291748048,120.87821197509766,523.3192138671875,642.8692626953125,375.7639465332031,404.3523864746094,360.5334777832031,318.24578857421875,3509.508056640625,2158.472900390625,905.0389404296876,736.45166015625,878.2476196289062,5282.9267578125,7268.82568359375,8500.009765625,21126.533203125,799.060791015625,918.4971313476562,1028.7547607421875,86243.90625,87347.0078125,69612.9765625,72998.015625,39977.3046875,225.4080352783203,475.03131103515625,216.2712860107422,21036.01953125,16998.931640625,15137.9462890625,15837.3388671875,7401.07470703125,7030.43408203125,6602.8232421875,6084.8935546875,12752,27.604394912719727,29.457874298095703,0,0,0,0,0,0,0,0,0,0,0,1,23.864404678344727,23.18809700012207,987.3545532226562,130549.796875,5.006195068359375,0,9126744,True,BME690,20724,0,0,0,9123004,24484,0,26.65491104125977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU18', 'identifier': 'fCeN1', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 21:24:25.866,"{'cid': '74d7c62e-cff1-4952-b4a0-8c74fd7dd5f9', 'uuid': '24f2fe90-3fa2-4364-805e-0d5ed7773f6a', 'annotationId': 'fb24a47a-400e-487d-b638-278334b46b63', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773696262738, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T21:24:22.964Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",225.0,224.55,22160332.0,1175.0,1173.97,21470046.0,300.0,298.87,000000000DFEC3B8,3700.0,3698.92,000000000DFEC3B1,1600.0,1599.79,22450161.0,0.0,22.5,21.0
