component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,692.2669677734375,599.37451171875,5095.75732421875,6558.91064453125,4237.98095703125,4026.759033203125,6934.49658203125,6594.99609375,276.188720703125,10255.890625,8048.990234375,2569.09521484375,1877.1434326171875,2051.646728515625,23560.47265625,14646.3896484375,675.1957397460938,1897.13671875,7366.9619140625,773.0709228515625,84143.046875,60021.47265625,19054.173828125,17591.91796875,112.46918487548828,126.62662506103516,1197.763916015625,1358.4296875,105.83328247070312,121.27828216552734,527.4169311523438,646.13671875,371.4521484375,399.5592651367188,360.9427795410156,317.7210693359375,3484.252685546875,2150.00439453125,912.4116821289062,741.4292602539062,876.0357055664062,5211.87353515625,7206.33544921875,8414.986328125,27526.85546875,877.798095703125,971.1375732421876,1092.3564453125,85218.78125,86303.2265625,68890.0625,72283.765625,42505.37890625,237.95477294921875,514.058837890625,230.4809417724609,21102.205078125,17041.154296875,15165.64453125,15869.330078125,7266.3359375,6895.09033203125,6464.970703125,5953.796875,8561,27.36263656616211,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.97730827331543,20.14046287536621,994.1021118164062,90096.2265625,4.376147270202637,0,183538795,True,BME690,416920,0,0,0,183534168,24484,0,27.097124099731445,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:51.569,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.02,17.25,3700.0,3704.69,000000000DFEC3B1,1175.0,1171.92,21470046.0,225.0,224.3,22160332.0,1600.0,1594.0,22450161.0,300.0,293.75,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,692.84326171875,598.6004638671875,5095.87890625,6557.94677734375,4238.31396484375,4026.21337890625,6935.2314453125,6592.8232421875,276.1624450683594,10291.0419921875,8076.27490234375,2566.70068359375,1880.6065673828125,2051.62939453125,23681.927734375,14482.6123046875,675.321533203125,1897.6898193359373,7388.6640625,773.3565063476562,84147.7734375,60021.16796875,19055.279296875,17591.220703125,112.47663116455078,126.65887451171876,1199.8394775390625,1356.5732421875,105.83454895019533,121.30989837646484,527.2191162109375,646.8005981445312,371.4664916992188,399.55224609375,360.8828125,317.6954040527344,3484.972412109375,2149.60107421875,912.827392578125,741.4083862304688,874.6446533203125,5207.626953125,7205.61328125,8414.912109375,27537.375,877.6048583984375,970.3245849609376,1095.419921875,85211.6796875,86309.484375,68896.109375,72282.0546875,42350.73828125,237.9686584472656,514.9660034179688,230.6018524169922,21102.546875,17041.970703125,15166.041015625,15870.0205078125,7266.3251953125,6895.46875,6464.6806640625,5953.5615234375,8862,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.976652145385746,20.140493392944336,994.1004638671876,90996.953125,4.375990867614746,0,183539235,True,BME690,416921,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:51.869,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.01,17.25,3700.0,3704.69,000000000DFEC3B1,1175.0,1171.92,21470046.0,225.0,224.3,22160332.0,1600.0,1594.0,22450161.0,300.0,293.75,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,692.0775756835938,599.0294799804688,5096.2412109375,6558.88330078125,4238.33740234375,4026.64208984375,6935.529296875,6593.7119140625,276.1627502441406,10266.9228515625,8069.7109375,2567.069580078125,1885.6556396484373,2051.252197265625,23555.16796875,14562.8056640625,675.020263671875,1899.2864990234373,7383.11279296875,773.5878295898438,84128.5859375,60030.22265625,19049.041015625,17592.51171875,112.46814727783205,126.67657470703124,1197.7381591796875,1358.942138671875,105.85346221923828,121.25436401367188,526.8775024414062,646.5092163085938,371.4564208984375,399.549560546875,360.8894348144531,317.76123046875,3483.572265625,2150.3759765625,912.6964721679688,741.40234375,875.605712890625,5217.2412109375,7205.388671875,8415.158203125,27534.2109375,877.7612915039062,971.0003662109376,1091.9410400390625,85203.9296875,86307.140625,68888.6484375,72287.3125,42419.84375,238.0103302001953,514.509765625,230.50277709960935,21100.9765625,17040.548828125,15165.935546875,15868.5234375,7267.376953125,6895.27978515625,6465.0146484375,5953.9541015625,9163,27.44322204589844,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.97730827331543,20.14046287536621,994.1021118164062,90469.3515625,4.376147270202637,0,183539675,True,BME690,416922,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:52.170,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",23.0,17.25,3700.0,3703.65,000000000DFEC3B1,1175.0,1172.16,21470046.0,225.0,224.32,22160332.0,1600.0,1594.42,22450161.0,300.0,294.06,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,691.7893676757812,599.3035888671875,5096.03515625,6560.3291015625,4238.275390625,4026.822509765625,6936.02978515625,6593.0380859375,276.08819580078125,10276.765625,8066.47412109375,2565.724853515625,1878.843994140625,2051.40087890625,23576.56640625,14619.8408203125,674.3413696289062,1898.9068603515625,7397.654296875,773.28662109375,84136.4609375,60029.18359375,19054.646484375,17588.26171875,112.49988555908205,126.681884765625,1197.9171142578125,1360.4517822265625,105.84349060058594,121.27854919433594,527.3077392578125,647.0177612304688,371.504638671875,399.5260314941406,360.89935302734375,317.6664123535156,3483.51123046875,2150.420654296875,912.635986328125,741.3818969726562,875.5293579101562,5213.31884765625,7205.9287109375,8414.681640625,27550.078125,877.7946166992188,970.6587524414062,1093.8812255859375,85218.0,86309.015625,68896.34375,72294.8671875,42052.2890625,238.04249572753903,514.299560546875,230.56634521484372,21102.408203125,17041.251953125,15166.31640625,15869.5576171875,7267.78271484375,6895.12841796875,6465.0185546875,5953.92626953125,9465,27.44322204589844,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.97730827331543,20.14046287536621,994.1021118164062,90469.3515625,4.376147270202637,0,183539675,True,BME690,416922,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:52.472,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.99,17.26,3700.0,3700.61,000000000DFEC3B1,1175.0,1172.91,21470046.0,225.0,224.41,22160332.0,1600.0,1595.74,22450161.0,300.0,295.08,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,692.7442016601562,598.8067016601562,5096.0849609375,6558.625,4237.5595703125,4027.11962890625,6933.83740234375,6592.849609375,276.1924743652344,10279.8505859375,8076.79345703125,2566.111083984375,1883.473388671875,2051.55078125,23431.58203125,14609.025390625,674.8320922851562,1899.3359375,7364.58740234375,773.6868286132812,84141.28125,60031.17578125,19055.728515625,17590.171875,112.47830200195312,126.64282989501952,1196.4945068359375,1360.9342041015625,105.82414245605467,121.29489135742188,527.4618530273438,646.998046875,371.49853515625,399.5469665527344,360.8916320800781,317.6421813964844,3483.984130859375,2150.1923828125,912.5502319335938,741.4136352539062,876.0309448242188,5208.25341796875,7205.53955078125,8415.697265625,27531.203125,877.8680419921875,970.4391479492188,1093.61083984375,85217.9296875,86303.6484375,68897.1015625,72295.6875,42142.26953125,238.092041015625,514.492431640625,230.6012420654297,21102.4140625,17041.962890625,15165.060546875,15869.7880859375,7267.61865234375,6895.9228515625,6464.876953125,5954.31689453125,9766,27.5238094329834,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.977638244628903,20.14626884460449,994.1012573242188,90544.3515625,4.377490043640137,0,183540115,True,BME690,416923,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:52.772,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,17.26,3700.0,3697.58,000000000DFEC3B1,1175.0,1173.65,21470046.0,225.0,224.49,22160332.0,1600.0,1597.04,22450161.0,300.0,296.1,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,691.8305053710938,599.05615234375,5096.1552734375,6558.6630859375,4238.19970703125,4026.53466796875,6934.736328125,6595.4072265625,276.1535339355469,10305.4345703125,8032.71044921875,2566.23486328125,1881.283203125,2051.852783203125,23371.3828125,14517.4912109375,674.8668823242188,1898.5916748046875,7359.13623046875,773.4873046875,84103.46875,60029.609375,19052.71484375,17590.091796875,112.48133087158205,126.6510009765625,1197.4757080078125,1360.546630859375,105.86080169677734,121.32919311523438,527.4491577148438,646.447265625,371.5218200683594,399.4759521484375,360.9618225097656,317.6495056152344,3484.75,2150.1669921875,912.4583740234376,741.3535766601562,875.5538330078125,5204.61181640625,7205.416015625,8415.779296875,27520.265625,877.8697509765625,968.6008911132812,1094.091064453125,85205.6796875,86316.3515625,68899.5859375,72295.1328125,42445.83203125,238.0614318847656,514.3931274414062,230.55149841308597,21103.763671875,17041.326171875,15166.90234375,15871.453125,7266.978515625,6895.0302734375,6464.8671875,5953.0146484375,10369,27.44322204589844,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.97796630859375,20.146255493164062,994.0888061523438,90619.46875,4.37756872177124,0,183540555,True,BME690,416924,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:53.376,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,17.29,3700.0,3694.36,000000000DFEC3B1,1175.0,1174.4,21470046.0,225.0,224.64,22160332.0,1600.0,1598.42,22450161.0,300.0,296.64,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,691.6224365234375,598.8909301757812,5096.56982421875,6558.86181640625,4237.78076171875,4026.552978515625,6935.009765625,6591.24560546875,276.22906494140625,10295.271484375,8010.04296875,2566.0732421875,1878.5960693359373,2049.482421875,23408.916015625,14588.44140625,674.97900390625,1901.1710205078125,7403.97802734375,773.4259033203125,84119.9375,60025.203125,19052.431640625,17586.634765625,112.48377990722656,126.62102508544922,1198.5250244140625,1357.6070556640625,105.8636474609375,121.26731872558594,527.19384765625,647.1648559570312,371.5062255859375,399.5296020507813,360.9122314453125,317.6062927246094,3485.30322265625,2150.143798828125,912.291259765625,741.4660034179688,876.3241577148438,5209.11669921875,7206.92626953125,8414.6982421875,27530.1640625,877.6271362304688,969.4928588867188,1095.5322265625,85207.578125,86316.1953125,68892.875,72293.0703125,42286.14453125,238.01287841796875,514.3342895507812,230.5819854736328,21104.33203125,17041.322265625,15166.6865234375,15868.2431640625,7267.0673828125,6896.2080078125,6465.1708984375,5953.87158203125,10670,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.97895050048828,20.14038848876953,994.03173828125,90319.7421875,4.376537322998047,0,183540995,True,BME690,416925,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:53.677,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,17.31,3700.0,3694.18,000000000DFEC3B1,1175.0,1174.4,21470046.0,225.0,224.71,22160332.0,1600.0,1598.45,22450161.0,300.0,296.08,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,692.2572021484375,599.0535278320312,5096.4013671875,6557.76123046875,4238.03466796875,4027.2197265625,6935.8818359375,6596.5009765625,276.12994384765625,10295.0732421875,8014.869140625,2567.641357421875,1878.0982666015625,2053.4033203125,23411.974609375,14444.0810546875,675.2821655273438,1899.762939453125,7376.72998046875,773.3807983398438,84132.734375,60032.68359375,19052.42578125,17582.865234375,112.46846771240234,126.6598129272461,1194.4791259765625,1358.6629638671875,105.86849975585938,121.31632232666016,526.7227172851562,646.8402099609375,371.49700927734375,399.5409240722656,360.8426513671875,317.61865234375,3484.876953125,2149.47607421875,912.6134033203124,741.5720825195312,876.5064697265625,5202.47509765625,7206.341796875,8415.2353515625,27537.0546875,877.8267211914062,970.0836181640624,1096.4066162109375,85213.6015625,86314.1484375,68897.0390625,72287.015625,42366.90234375,238.05702209472656,514.322509765625,230.6696929931641,21103.212890625,17040.8359375,15166.271484375,15869.78515625,7266.77001953125,6896.025390625,6464.5458984375,5954.25439453125,10971,27.44322204589844,29.296703338623047,0,0,0,0,0,0,0,0,0,0,0,1,23.979278564453125,20.14619445800781,993.9796752929688,90170.609375,4.377880096435547,0,183541435,True,BME690,416926,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:53.978,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.98,17.34,3700.0,3694.01,000000000DFEC3B1,1175.0,1174.4,21470046.0,225.0,224.78,22160332.0,1600.0,1598.47,22450161.0,300.0,295.53,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,692.2598266601562,599.3855590820312,5095.94775390625,6556.962890625,4237.52734375,4027.08447265625,6935.75439453125,6593.69189453125,276.05047607421875,10305.5009765625,8053.94970703125,2567.261474609375,1879.073486328125,2045.061279296875,23323.220703125,14491.8583984375,675.0487670898438,1902.94775390625,7345.9560546875,772.9605712890625,84121.59375,60032.20703125,19052.7109375,17593.939453125,112.46404266357422,126.68660736083984,1194.1856689453125,1359.02001953125,105.85507202148438,121.26213073730467,527.0997314453125,646.8750610351562,371.3810729980469,399.5420837402344,360.8006286621094,317.6393737792969,3484.821533203125,2150.176025390625,912.5249633789062,741.4649658203125,877.084716796875,5198.8720703125,7206.63623046875,8414.64453125,27540.892578125,877.6739501953125,971.9639282226562,1093.33740234375,85203.7109375,86331.8359375,68896.2890625,72291.3828125,42587.8984375,238.0713653564453,514.3407592773438,230.6825714111328,21102.470703125,17041.181640625,15166.2685546875,15870.0634765625,7267.5498046875,6895.328125,6464.70849609375,5953.6767578125,11273,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.979278564453125,20.14619445800781,993.9796752929688,90170.609375,4.377880096435547,0,183541435,True,BME690,416926,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:54.280,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.99,17.39,3700.0,3695.24,000000000DFEC3B1,1175.0,1174.32,21470046.0,225.0,224.82,22160332.0,1600.0,1598.47,22450161.0,300.0,298.09,000000000DFEC3B8,-0.0
0000000018-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,356b6030-9968-4f07-9b91-8fa7916860ad,10c0f871-c230-4501-b91f-5028615cfa1c,691.2879638671875,599.1167602539062,5096.90283203125,6557.49658203125,4237.67138671875,4026.775390625,6934.4443359375,6593.83837890625,276.29901123046875,10290.0537109375,8047.8046875,2566.29736328125,1885.4219970703125,2051.26904296875,23439.01953125,14561.15234375,674.8762817382812,1904.00927734375,7365.0869140625,773.5635986328125,84105.4140625,60027.09765625,19052.337890625,17590.103515625,112.47186279296876,126.67195892333984,1191.9754638671875,1359.65478515625,105.86636352539062,121.2824249267578,527.7896118164062,646.5182495117188,371.4606018066406,399.5905456542969,360.9126892089844,317.67987060546875,3484.1435546875,2150.211669921875,912.5652465820312,741.6001586914062,876.825439453125,5197.5439453125,7204.982421875,8414.98828125,27551.10546875,877.9776000976562,970.4442138671876,1094.1883544921875,85214.7421875,86323.4375,68892.9140625,72293.84375,42361.8046875,238.05178833007807,514.2686157226562,230.5587615966797,21101.8828125,17039.650390625,15165.97265625,15869.23828125,7267.26416015625,6894.47412109375,6465.017578125,5953.16015625,11574,27.5238094329834,29.37728881835937,0,0,0,0,0,0,0,0,0,0,0,1,23.97993469238281,20.134521484375,993.931640625,90845.578125,4.375506401062012,0,183541875,True,BME690,416927,0,0,0,183539171,24484,0,27.676559448242188,13,,,"{'Type': 'start', 'Data_Type': 'Synthetical', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 13, 'TrialName': '8x8 sensing elements-W/CLN', 'identifier': 'x5agf', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-11 23:48:54.582,"{'cid': '82432fa8-e6b7-4614-a861-3224da68cfe2', 'uuid': '868fbde8-5ab6-40b8-ac54-33c383b88478', 'annotationId': '356b6030-9968-4f07-9b91-8fa7916860ad', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773272931147, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-11T23:48:51.362Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.99,17.43,3700.0,3697.22,000000000DFEC3B1,1175.0,1174.2,21470046.0,225.0,224.83,22160332.0,1600.0,1598.44,22450161.0,300.0,302.66,000000000DFEC3B8,-0.0
