component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,T0_093225,H0_093225
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,477.6870727539063,620.0280151367188,5051.17431640625,5471.70947265625,5461.22607421875,5445.9345703125,7463.84716796875,6629.5517578125,210.5821533203125,182908064,3169.235595703125,24692.513671875,200.11068725585935,2407.52783203125,2570.885986328125,2812.1552734375,155.21383666992188,2781.40673828125,2373.310302734375,20852.73046875,138074.640625,71388.375,27135.896484375,21626.5859375,108.11773681640624,117.79955291748048,763.513671875,440.0516357421875,214.2680206298828,1035.126708984375,303.8502502441406,140.40162658691406,471.1867065429688,397.8008117675781,423.9010314941406,268.4234924316406,2535.5,2190.76416015625,711.1965942382812,812.1254272460938,361.5532836914063,25989.66015625,13983.0830078125,7645.396484375,1915.6302490234373,173214688,1206.600341796875,464.3036804199219,65830.84375,66020.3671875,59952.08203125,80063.9765625,330.0998840332031,21670.4375,365.2200927734375,302.25372314453125,21172.416015625,23174.265625,20714.83984375,22699.03125,9310.453125,8866.8466796875,8450.787109375,7775.6787109375,9124,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.319822311401367,20.87742042541504,994.177001953125,284939.125,4.369954109191895,0,7691046,True,BME690,17460,0,0,0,7687640,24484,0,31.641578674316406,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:52.375,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3701.37,000000000DFEC3B1,1340.0,1337.76,21470046.0,1600.0,1596.08,22450161.0,300.0,303.03,000000000DFEC3B8,60.0,59.51,22160332.0,-0.0,22.64,17.68
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,477.2891540527344,620.200927734375,5051.44873046875,5471.76318359375,5461.12353515625,5445.8017578125,7463.8046875,6629.65673828125,210.47991943359372,182677840,3171.3720703125,24635.32421875,200.16831970214844,2410.275390625,2572.26953125,2804.852783203125,155.18580627441406,2788.37890625,2375.529052734375,20844.642578125,138079.125,71374.6875,27134.63671875,21620.173828125,108.09590911865234,117.81044006347656,764.4988403320312,439.6332702636719,214.28167724609372,1034.1138916015625,303.8614501953125,140.40240478515625,471.22650146484375,397.82269287109375,423.8523864746094,268.41387939453125,2535.87060546875,2190.586669921875,711.20751953125,812.123291015625,361.51513671875,26006.23046875,13980.6533203125,7644.7333984375,1920.564208984375,173698064,1207.95166015625,464.6476745605469,65825.09375,66021.8125,59955.47265625,80070.015625,329.72137451171875,21558.42578125,365.245849609375,302.1208801269531,21181.087890625,23172.755859375,20715.806640625,22699.3203125,9310.0537109375,8869.484375,8450.4970703125,7775.560546875,9426,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.32015609741211,20.88334083557129,994.1729125976562,285311.28125,4.371275901794434,0,7691487,True,BME690,17461,0,0,0,7687640,24484,0,31.641578674316406,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:52.675,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3701.37,000000000DFEC3B1,1340.0,1337.76,21470046.0,1600.0,1596.08,22450161.0,300.0,303.03,000000000DFEC3B8,60.0,59.51,22160332.0,-0.0,22.64,17.68
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,476.8527221679688,620.1444702148438,5052.27587890625,5472.138671875,5461.8359375,5445.52734375,7463.78369140625,6629.12451171875,210.423583984375,182495888,3171.020751953125,24534.544921875,200.1221618652344,2394.633056640625,2573.998291015625,2807.740478515625,155.18983459472656,2787.51611328125,2373.33056640625,21135.755859375,138060.09375,71371.6640625,27141.03515625,21622.4453125,108.08732604980467,117.80692291259766,764.2327270507812,440.1384582519531,214.2841339111328,1035.0986328125,303.7940979003906,140.44091796875,471.2259826660156,397.776611328125,423.912109375,268.4606628417969,2536.23193359375,2190.855712890625,711.193359375,812.0880737304688,361.6598205566406,26041.4453125,13981.2294921875,7645.52001953125,1918.929931640625,173316800,1207.652587890625,464.59381103515625,65831.75,66028.75,59962.953125,80058.875,329.3289489746094,21400.0703125,365.1536254882813,301.9022521972656,21169.697265625,23173.814453125,20715.951171875,22698.14453125,9310.875,8867.1005859375,8451.4443359375,7775.34130859375,9726,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.32015609741211,20.88334083557129,994.1729125976562,285311.28125,4.371275901794434,0,7691487,True,BME690,17461,0,0,0,7687640,24484,0,31.641578674316406,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:52.977,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3701.03,000000000DFEC3B1,1340.0,1337.89,21470046.0,1600.0,1596.48,22450161.0,300.0,303.44,000000000DFEC3B8,60.0,59.54,22160332.0,-0.0,22.64,17.7
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,477.1541748046875,620.2503662109375,5050.57861328125,5471.94287109375,5462.54296875,5445.72705078125,7463.50927734375,6629.24169921875,210.4784698486328,182328352,3174.8203125,24552.25,200.03428649902344,2408.753662109375,2573.0361328125,2814.10205078125,155.17410278320312,2788.202392578125,2369.63623046875,21085.1171875,138117.59375,71364.953125,27139.634765625,21625.00390625,108.08597564697266,117.77003479003906,765.8422241210938,440.3429870605469,214.3060760498047,1035.6741943359375,303.833251953125,140.39146423339844,471.2998046875,397.8053894042969,423.8262023925781,268.4740295410156,2535.48388671875,2190.160400390625,711.28466796875,812.1634521484375,361.6207580566406,26023.30078125,13984.1611328125,7644.86474609375,1918.8812255859373,172967840,1208.760986328125,464.6187744140625,65835.9375,66033.78125,59958.88671875,80072.2890625,329.4271545410156,21358.357421875,365.3456726074219,301.9653015136719,21175.126953125,23173.28515625,20715.732421875,22698.728515625,9311.0693359375,8858.4404296875,8451.5458984375,7775.53759765625,10027,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.32015609741211,20.88927459716797,994.166259765625,285125.09375,4.372518062591553,0,7691927,True,BME690,17462,0,0,0,7687640,24484,0,31.641578674316406,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:53.277,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.31,000000000DFEC3B1,1340.0,1338.18,21470046.0,1600.0,1597.36,22450161.0,300.0,304.39,000000000DFEC3B8,60.0,59.61,22160332.0,-0.0,22.65,17.81
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,476.987060546875,620.2581787109375,5049.775390625,5471.71630859375,5462.4765625,5445.86181640625,7463.56298828125,6629.42236328125,210.69747924804688,182118432,3175.6552734375,24636.697265625,200.06956481933597,2408.40771484375,2575.726806640625,2810.759521484375,155.17593383789062,2791.95361328125,2372.96630859375,21234.2109375,138067.796875,71394.9921875,27131.998046875,21617.072265625,108.08472442626952,117.81014251708984,765.73876953125,440.1303405761719,214.3399200439453,1036.6771240234375,303.7968444824219,140.3723907470703,471.24560546875,397.7968444824219,423.9062194824219,268.4780578613281,2534.4755859375,2190.589111328125,711.1781005859375,812.1489868164062,361.6616516113281,26063.712890625,13981.060546875,7645.72265625,1922.1287841796875,172755056,1209.07763671875,464.5354614257813,65831.140625,66026.75,59955.2578125,80081.6015625,329.5162658691406,21552.126953125,365.0005798339844,302.3756103515625,21174.0078125,23175.373046875,20714.251953125,22699.416015625,9310.69921875,8867.8740234375,8451.861328125,7775.37548828125,10328,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.32015609741211,20.88334083557129,994.1613159179688,284753.40625,4.371275901794434,0,7692367,True,BME690,17463,0,0,0,7687640,24484,0,31.641578674316406,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:53.574,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.59,000000000DFEC3B1,1340.0,1338.46,21470046.0,1600.0,1598.23,22450161.0,300.0,305.34,000000000DFEC3B8,60.0,59.68,22160332.0,-0.01,22.65,17.93
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,476.870849609375,620.1669921875,5052.080078125,5471.8271484375,5461.61376953125,5446.013671875,7462.91796875,6628.9609375,210.53463745117188,182097488,3177.58203125,24641.4765625,199.99522399902344,2408.613525390625,2570.08642578125,2807.140869140625,155.13612365722656,2796.667236328125,2379.224365234375,20849.83203125,138078.46875,71399.703125,27140.96875,21613.833984375,108.10257720947266,117.79955291748048,763.7667846679688,439.4314880371094,214.3249969482422,1034.763916015625,303.7723999023437,140.37315368652344,471.2080993652344,397.7419738769531,423.8042602539063,268.5098571777344,2535.68115234375,2190.604248046875,711.208984375,812.11669921875,361.59283447265625,26075.033203125,13977.3173828125,7644.52587890625,1922.34130859375,172677024,1211.3033447265625,464.5055541992188,65834.875,66033.15625,59957.09375,80071.4453125,329.1496276855469,21680.67578125,365.1523132324219,302.0933532714844,21177.240234375,23175.904296875,20716.419921875,22698.767578125,9312.4072265625,8866.869140625,8451.23046875,7775.6328125,10630,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.32015609741211,20.88334083557129,994.1613159179688,284753.40625,4.371275901794434,0,7692367,True,BME690,17463,0,0,0,7692643,24484,0,31.796222686767575,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:53.885,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3698.98,000000000DFEC3B1,1340.0,1338.73,21470046.0,1600.0,1599.03,22450161.0,300.0,305.9,000000000DFEC3B8,60.0,59.75,22160332.0,-0.01,22.66,18.06
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,477.0188293457031,620.0004272460938,5051.31982421875,5471.59375,5461.53173828125,5446.03173828125,7463.95947265625,6629.29345703125,210.5479431152344,182115312,3167.797607421875,24753.712890625,200.0032958984375,2409.35400390625,2571.818115234375,2810.34375,155.1929168701172,2795.17138671875,2371.998779296875,21072.51953125,138069.765625,71384.1171875,27137.21484375,21619.455078125,108.14117431640624,117.80918884277344,764.1566772460938,440.1833801269531,214.31890869140625,1036.5281982421875,303.7220153808594,140.42630004882812,471.2332763671875,397.81201171875,423.81781005859375,268.4717712402344,2535.107666015625,2190.6416015625,711.1986083984375,812.1497802734375,361.5528259277344,26090.294921875,13982.2783203125,7645.04931640625,1930.7855224609373,172520288,1210.69873046875,465.1049499511719,65815.578125,66036.90625,59957.22265625,80071.8046875,329.17108154296875,21583.548828125,365.4880676269531,301.4633178710937,21180.30859375,23175.419921875,20716.466796875,22701.091796875,9312.2333984375,8857.5419921875,8451.4375,7775.556640625,10932,27.04029083251953,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.32048797607422,20.89519500732422,994.0797119140624,285311.28125,4.37384033203125,0,7692807,True,BME690,17464,0,0,0,7692643,24484,0,31.796222686767575,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:54.181,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.4,000000000DFEC3B1,1340.0,1338.77,21470046.0,1600.0,1598.99,22450161.0,300.0,302.03,000000000DFEC3B8,60.0,59.83,22160332.0,-0.01,22.65,18.09
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,476.8864135742188,620.0885009765625,5049.77783203125,5471.810546875,5461.85986328125,5445.79150390625,7463.9873046875,6628.29833984375,210.50425720214844,182220784,3167.535888671875,24622.224609375,200.07928466796875,2403.882568359375,2575.668701171875,2807.89892578125,155.17135620117188,2782.3203125,2372.766845703125,21216.400390625,138084.53125,71381.1328125,27130.32421875,21611.837890625,108.0679702758789,117.8103256225586,763.1671142578125,439.71429443359375,214.31710815429688,1034.488525390625,303.7862548828125,140.41004943847656,471.1871337890625,397.7284851074219,423.75103759765625,268.4535522460937,2535.082763671875,2191.4013671875,711.2057495117188,812.2037353515625,361.5191955566406,26087.529296875,13982.09375,7644.66943359375,1925.9989013671875,172519840,1209.557373046875,465.0760192871094,65813.0859375,66036.703125,59955.9765625,80063.1015625,329.3561096191406,21480.71875,365.1470336914063,301.5344543457031,21176.267578125,23175.099609375,20714.9375,22700.548828125,9310.4072265625,8855.6669921875,8451.3828125,7775.2109375,11231,27.04029083251953,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.32015609741211,20.88334083557129,994.0097045898438,284753.40625,4.371275901794434,0,7693247,True,BME690,17465,0,0,0,7692643,24484,0,31.796222686767575,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:54.480,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3699.82,000000000DFEC3B1,1340.0,1338.82,21470046.0,1600.0,1598.94,22450161.0,300.0,298.12,000000000DFEC3B8,60.0,59.9,22160332.0,-0.0,22.64,18.11
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,476.7949523925781,620.2368774414062,5051.26513671875,5471.232421875,5462.7958984375,5446.337890625,7463.36865234375,6629.216796875,210.46636962890625,182333968,3180.493896484375,24682.029296875,200.1917724609375,2400.12060546875,2579.213623046875,2808.817138671875,155.20494079589844,2785.883544921875,2369.273681640625,21154.056640625,138106.53125,71400.78125,27127.107421875,21622.0625,108.1199951171875,117.81999206542967,763.0150756835938,439.7991638183594,214.3263702392578,1035.469970703125,304.02099609375,140.38421630859375,471.18646240234375,397.7738037109375,423.8047790527344,268.4449462890625,2535.527587890625,2191.3818359375,711.2721557617188,812.2107543945312,361.636962890625,26118.82421875,13982.791015625,7644.642578125,1924.1104736328125,172462832,1209.76513671875,464.4071960449219,65813.234375,66037.03125,59948.12109375,80065.6015625,329.36041259765625,21653.9609375,365.6096496582031,301.7994079589844,21172.49609375,23174.611328125,20714.734375,22700.515625,9309.845703125,8856.580078125,8451.890625,7775.57421875,11533,26.959705352783203,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.32048797607422,20.90113067626953,993.9462280273438,284939.125,4.375082492828369,0,7693687,True,BME690,17466,0,0,0,7692643,24484,0,31.796222686767575,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:54.782,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.25,000000000DFEC3B1,1340.0,1338.87,21470046.0,1600.0,1598.89,22450161.0,300.0,294.18,000000000DFEC3B8,60.0,59.98,22160332.0,-0.0,22.63,18.12
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,fe67d078-0fe0-42ad-9641-43aa2650f4ca,abf3d6e6-cbae-42a9-8225-203c3276d984,476.2071228027344,620.207275390625,5052.86279296875,5471.98779296875,5462.48974609375,5445.734375,7463.6484375,6628.87158203125,210.48538208007807,182449040,3165.137451171875,24614.427734375,200.08221435546875,2403.370361328125,2579.53857421875,2811.235107421875,155.16358947753906,2779.377685546875,2373.71142578125,21335.9140625,138085.453125,71396.0234375,27136.9375,21619.001953125,108.13214111328124,117.80490112304688,762.01416015625,440.0806274414063,214.2908172607422,1035.11474609375,303.9628295898437,140.41021728515625,471.2573852539063,397.7837829589844,423.7454528808594,268.4808959960937,2534.162109375,2191.211181640625,711.1860961914062,812.16357421875,361.5836486816406,26083.92578125,13979.4150390625,7644.82373046875,1922.9398193359373,172363360,1211.5806884765625,464.8381042480469,65819.6484375,66020.8515625,59950.90625,80065.7890625,329.89990234375,21535.830078125,365.2814331054688,301.7486572265625,21172.7890625,23176.435546875,20715.830078125,22701.455078125,9310.6875,8856.9423828125,8452.1318359375,7775.66552734375,11833,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.32048797607422,20.90113067626953,993.9462280273438,284939.125,4.375082492828369,0,7693687,True,BME690,17466,0,0,0,7692643,24484,0,31.796222686767575,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 6, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:51:55.081,"{'cid': '8dde7a8e-b01e-432e-b77e-395149f68139', 'uuid': '387b0fcf-a9b3-4807-824a-de8248e9f3ea', 'annotationId': 'fe67d078-0fe0-42ad-9641-43aa2650f4ca', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773676311922, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:51:52.152Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",3700.0,3700.68,000000000DFEC3B1,1340.0,1339.09,21470046.0,1600.0,1599.04,22450161.0,300.0,294.06,000000000DFEC3B8,60.0,59.99,22160332.0,-0.0,22.63,18.12
