component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,459.2308654785156,599.4729614257812,5033.859375,5455.39892578125,5446.1259765625,5427.94873046875,7439.8310546875,6605.23193359375,207.3905792236328,179312272,3123.675048828125,23952.59765625,197.21568298339844,2373.958740234375,2529.837158203125,2737.56005859375,152.4160614013672,2752.185791015625,2308.956787109375,13898.6396484375,137181.40625,71000.8046875,27025.017578125,21559.490234375,107.51659393310548,117.4098129272461,755.7174072265625,435.3783874511719,211.3002166748047,1011.1719970703124,296.19549560546875,139.6281280517578,469.9918212890625,396.7973937988281,423.0361022949219,267.9395751953125,2520.77490234375,2180.990478515625,709.5847778320312,809.6531982421875,348.0164794921875,24954.060546875,13936.8369140625,7620.78564453125,1913.51171875,173741760,1190.5380859375,458.61669921875,65481.44140625,65668.6640625,59670.49609375,79658.890625,326.4930114746094,21277.111328125,357.99078369140625,296.5793151855469,21119.98828125,23100.6953125,20652.740234375,22690.41015625,9275.5791015625,8816.5556640625,8413.7197265625,7743.7236328125,10271,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.475561141967773,19.50441169738769,992.5845336914062,299182.84375,4.118917465209961,0,12101559,True,BME690,27474,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:23.344,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,302.25,000000000DFEC3B8,300.0,299.42,22160332.0,3700.0,3699.71,000000000DFEC3B1,1100.0,1097.92,21470046.0,-0.01,22.7,17.81,1600.0,1596.96,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,459.0719299316406,599.5797729492188,5034.51220703125,5455.59765625,5445.912109375,5427.75146484375,7439.4716796875,6605.03271484375,207.46295166015625,179228800,3133.82568359375,23831.59375,197.01182556152344,2365.213134765625,2530.44873046875,2734.674560546875,152.4532928466797,2751.198486328125,2306.029541015625,13776.9755859375,137204.21875,70992.7265625,27028.19921875,21562.421875,107.5098648071289,117.39241027832033,754.8333740234375,435.7987976074219,211.24343872070312,1011.9486083984376,296.2673034667969,139.6260223388672,469.9605712890625,396.774658203125,423.0078430175781,267.9309387207031,2521.2763671875,2181.484375,709.7280883789062,809.6610107421875,348.0008239746094,24954.427734375,13933.6796875,7620.15625,1908.203369140625,173708752,1192.3294677734375,459.0066833496094,65483.15234375,65668.640625,59662.4375,79661.078125,326.3584899902344,21235.384765625,357.9414978027344,296.4125671386719,21116.671875,23101.373046875,20651.994140625,22687.958984375,9274.177734375,8814.6201171875,8414.1181640625,7744.392578125,10572,27.120880126953125,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.475561141967773,19.510351181030277,992.5845336914062,298773.625,4.120172023773193,0,12101999,True,BME690,27475,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:23.646,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,302.25,000000000DFEC3B8,300.0,299.42,22160332.0,3700.0,3699.71,000000000DFEC3B1,1100.0,1097.92,21470046.0,-0.01,22.7,17.81,1600.0,1596.96,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,459.04144287109375,599.4168090820312,5035.0927734375,5455.443359375,5445.16943359375,5427.56103515625,7440.3017578125,6604.9150390625,207.4379425048828,179058496,3133.689208984375,23872.8828125,197.29400634765625,2365.11181640625,2533.116943359375,2736.435302734375,152.4438934326172,2751.807373046875,2309.051513671875,13881.2353515625,137196.859375,70997.5234375,27035.134765625,21567.119140625,107.4930648803711,117.39696502685548,755.5548095703125,435.5221252441406,211.24652099609372,1010.7598266601562,296.1599426269531,139.67132568359375,469.9173583984375,396.7752380371094,423.068115234375,267.9093322753906,2521.387939453125,2179.983642578125,709.6569213867188,809.6290283203125,347.9934387207031,24960.39453125,13932.3134765625,7620.552734375,1908.72412109375,173739216,1191.0260009765625,459.1830139160156,65484.01171875,65676.2578125,59661.6328125,79655.53125,326.3714294433594,21216.8046875,358.3057556152344,296.6918640136719,21117.42578125,23101.91015625,20652.06640625,22688.052734375,9274.9599609375,8817.791015625,8414.3896484375,7743.9599609375,10873,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.475561141967773,19.510351181030277,992.5845336914062,298773.625,4.120172023773193,0,12101999,True,BME690,27475,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:23.948,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.05,000000000DFEC3B8,300.0,299.45,22160332.0,3700.0,3700.22,000000000DFEC3B1,1100.0,1098.08,21470046.0,-0.01,22.7,17.81,1600.0,1596.96,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,458.77630615234375,599.6533813476562,5034.10693359375,5455.35302734375,5445.65185546875,5427.47265625,7440.06689453125,6605.130859375,207.4995880126953,178974784,3131.446044921875,24023.615234375,197.25428771972656,2362.239501953125,2530.042236328125,2738.88818359375,152.4134979248047,2751.275390625,2303.1201171875,13669.6650390625,137162.0,70999.9453125,27040.857421875,21557.814453125,107.50749969482422,117.4018783569336,757.45361328125,435.2521667480469,211.22543334960935,1010.2747192382812,296.20806884765625,139.61280822753906,469.8583984375,396.8000183105469,423.0270385742188,267.9579162597656,2521.08251953125,2180.900634765625,709.62109375,809.6255493164062,347.9652099609375,24900.560546875,13934.5576171875,7621.08349609375,1906.809814453125,173712272,1191.6329345703125,458.2516479492188,65485.0078125,65662.8046875,59659.265625,79649.140625,326.6008605957031,21328.29296875,358.3995666503906,297.0931091308594,21119.37109375,23102.396484375,20653.736328125,22687.072265625,9273.5458984375,8819.34375,8414.0400390625,7744.21533203125,11174,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.475561141967773,19.51629066467285,992.5828857421876,298773.625,4.121426105499268,0,12102439,True,BME690,27476,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:24.250,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,297.36,000000000DFEC3B8,300.0,299.48,22160332.0,3700.0,3700.87,000000000DFEC3B1,1100.0,1098.28,21470046.0,-0.01,22.7,17.82,1600.0,1596.96,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,458.950439453125,599.5435791015625,5035.935546875,5455.98876953125,5445.04248046875,5428.05712890625,7440.71533203125,6604.9599609375,207.34019470214844,178896768,3128.101318359375,23979.65625,197.17416381835935,2367.719970703125,2529.562744140625,2736.8369140625,152.41896057128906,2743.47998046875,2308.85302734375,13827.3857421875,137194.28125,70966.3359375,27040.62109375,21555.927734375,107.50728607177734,117.4501495361328,755.3218383789062,435.4043273925781,211.2941436767578,1008.5679321289062,296.1205444335937,139.671875,469.9774475097656,396.8078002929688,423.0585021972656,267.92791748046875,2521.009765625,2180.604248046875,709.6248779296875,809.6720581054688,348.0656433105469,24921.994140625,13933.5810546875,7621.1572265625,1907.9063720703125,175199968,1191.172119140625,458.9002685546875,65486.1328125,65664.9765625,59659.5703125,79650.6171875,326.526123046875,21236.76953125,358.3573608398437,297.2109375,21123.654296875,23106.19921875,20653.0390625,22687.134765625,9272.248046875,8820.892578125,8412.8525390625,7743.85498046875,11477,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.475893020629883,19.504396438598636,992.5836791992188,299798.71875,4.118991851806641,0,12102880,True,BME690,27477,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:24.552,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,294.67,000000000DFEC3B8,300.0,299.52,22160332.0,3700.0,3701.51,000000000DFEC3B1,1100.0,1098.48,21470046.0,-0.01,22.71,17.84,1600.0,1596.96,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,458.8214721679688,599.65087890625,5034.67138671875,5455.28759765625,5445.11962890625,5427.52734375,7440.5361328125,6604.52783203125,207.2510681152344,179021824,3131.1455078125,23959.970703125,197.14306640625,2376.65380859375,2533.689208984375,2738.9755859375,152.41456604003906,2758.094482421875,2308.07177734375,13729.32421875,137195.78125,70975.2265625,27031.34375,21551.5859375,107.53398895263672,117.46575164794922,755.8084106445312,435.3857116699219,211.22862243652344,1009.8209228515624,296.2257385253906,139.65257263183594,469.8898010253906,396.78997802734375,423.0050354003906,267.8834533691406,2520.8359375,2180.222412109375,709.65869140625,809.6189575195312,348.0534973144531,24937.703125,13936.6015625,7620.86669921875,1905.8519287109373,175167616,1191.4544677734375,459.05908203125,65479.46484375,65677.7890625,59659.91015625,79647.8046875,327.127197265625,21240.625,358.6111145019531,296.7524108886719,21125.12109375,23107.94921875,20652.17578125,22688.634765625,9272.4912109375,8819.0791015625,8413.3359375,7744.13232421875,11776,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.475893020629883,19.504396438598636,992.5836791992188,299798.71875,4.118991851806641,0,12102880,True,BME690,27477,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:24.853,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,294.24,000000000DFEC3B8,300.0,299.65,22160332.0,3700.0,3701.59,000000000DFEC3B1,1100.0,1098.68,21470046.0,-0.01,22.71,17.86,1600.0,1597.45,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,459.4222412109375,599.7246704101562,5035.07373046875,5455.08642578125,5444.314453125,5428.28515625,7440.505859375,6605.11669921875,207.40036010742188,179286256,3138.111572265625,23981.302734375,197.1372985839844,2365.843017578125,2527.6767578125,2743.861328125,152.42701721191406,2752.2822265625,2305.486083984375,13666.1611328125,137196.90625,70986.828125,27033.49609375,21553.359375,107.4821319580078,117.41389465332033,756.0437622070312,435.4999694824219,211.30030822753903,1010.6293334960938,296.3128967285156,139.66282653808594,469.9071350097656,396.8107604980469,423.0057067871094,267.9122314453125,2521.49755859375,2180.54931640625,709.6375732421875,809.5573120117188,348.0997619628906,24999.865234375,13937.6142578125,7619.931640625,1910.6220703125,175193648,1188.80908203125,459.0867309570313,65484.76953125,65680.453125,59665.7734375,79660.109375,326.4469299316406,21344.8515625,358.3953552246094,297.0986328125,21126.1171875,23106.052734375,20652.666015625,22687.814453125,9273.8330078125,8817.05078125,8413.4248046875,7743.71826171875,12079,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.475893020629883,19.51627540588379,992.5028686523438,297350.28125,4.121500015258789,0,12103320,True,BME690,27478,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:25.155,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,296.32,000000000DFEC3B8,300.0,299.88,22160332.0,3700.0,3701.01,000000000DFEC3B1,1100.0,1098.88,21470046.0,-0.01,22.71,17.87,1600.0,1598.53,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,459.1308898925781,599.5010986328125,5034.28125,5454.31298828125,5443.4501953125,5428.04296875,7440.388671875,6605.3896484375,207.3939514160156,179535136,3142.907958984375,24027.982421875,197.21859741210935,2365.789306640625,2530.73486328125,2737.69677734375,152.44895935058594,2750.19287109375,2308.47802734375,13729.24609375,137178.53125,70984.0625,27031.880859375,21558.544921875,107.4999771118164,117.39392852783205,755.908935546875,435.1082763671875,211.2077178955078,1010.3065795898438,296.247802734375,139.68899536132812,469.9350891113281,396.80609130859375,422.8971862792969,267.9032592773437,2521.200439453125,2180.18017578125,709.6350708007812,809.5845336914062,348.0371398925781,24969.09375,13937.990234375,7620.2744140625,1910.9412841796875,175826176,1193.1650390625,458.6906127929688,65480.89453125,65673.3203125,59661.1328125,79654.515625,326.8675537109375,21196.845703125,358.41094970703125,297.1797180175781,21127.658203125,23106.60546875,20653.326171875,22686.146484375,9272.7109375,8817.693359375,8414.9326171875,7744.36767578125,12379,27.201465606689453,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.476226806640625,19.516258239746094,992.4327392578124,297958.625,4.121575355529785,0,12103761,True,BME690,27479,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:25.456,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,298.39,000000000DFEC3B8,300.0,300.12,22160332.0,3700.0,3700.44,000000000DFEC3B1,1100.0,1099.08,21470046.0,-0.0,22.71,17.87,1600.0,1599.61,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,458.9542236328125,599.2451782226562,5033.7763671875,5455.28271484375,5443.68603515625,5427.75830078125,7437.04736328125,6604.482421875,207.29281616210935,179742400,3142.100341796875,24125.544921875,197.0730743408203,2369.42138671875,2536.9619140625,2744.875,152.3935546875,2754.268310546875,2311.4267578125,13647.4931640625,137182.625,70988.09375,27020.49609375,21558.443359375,107.52911376953124,117.4069366455078,756.5855102539062,435.14947509765625,211.24917602539065,1010.307373046875,296.1621398925781,139.64285278320312,469.9166259765625,396.8166198730469,422.9292907714844,267.9242248535156,2521.455078125,2180.90087890625,709.6649780273438,809.6533813476562,348.0285339355469,24970.498046875,13936.853515625,7620.27978515625,1908.9979248046875,175533104,1190.8778076171875,458.9120788574219,65475.71875,65671.3828125,59663.73828125,79661.0078125,326.4698486328125,21188.796875,358.5042724609375,297.4673767089844,21126.77734375,23103.98828125,20653.109375,22689.03515625,9273.134765625,8818.0263671875,8414.8193359375,7744.09423828125,12679,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.476226806640625,19.516258239746094,992.4327392578124,297958.625,4.121575355529785,0,12103761,True,BME690,27479,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:25.760,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,300.31,000000000DFEC3B8,300.0,300.31,22160332.0,3700.0,3699.86,000000000DFEC3B1,1100.0,1099.28,21470046.0,-0.0,22.7,17.87,1600.0,1600.54,22450161.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,54ac775d-4f13-4e97-8d95-9096cd0d5921,de4335f8-2d8f-494f-a206-cca1d5d280e6,458.8071899414063,599.3480834960938,5034.6630859375,5454.892578125,5444.859375,5428.00244140625,7437.681640625,6605.06787109375,207.3476104736328,179978848,3132.35546875,24149.8984375,197.1127471923828,2362.646484375,2540.101806640625,2746.283203125,152.4268035888672,2757.973876953125,2312.44384765625,13830.8505859375,137150.234375,70952.984375,27028.84375,21558.1171875,107.5283660888672,117.42477416992188,756.9754638671875,435.4360046386719,211.2499847412109,1010.946044921875,296.2396545410156,139.63902282714844,469.96917724609375,396.89837646484375,422.8143615722656,267.8962707519531,2521.479248046875,2180.681396484375,709.7396850585938,809.671142578125,348.0140991210937,24970.396484375,13935.62109375,7620.4775390625,1907.2347412109373,175453392,1191.4979248046875,458.4819946289063,65478.734375,65671.65625,59659.0234375,79654.8203125,326.2402038574219,21190.5859375,358.6697082519531,296.5758056640625,21124.609375,23100.25,20652.853515625,22688.54296875,9272.6162109375,8822.5419921875,8413.8505859375,7744.3193359375,12980,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.476226806640625,19.51031875610352,992.371826171875,299387.84375,4.120320796966553,0,12104201,True,BME690,27480,0,0,0,12100403,24484,0,31.601119995117188,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-100ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 25, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:05:26.056,"{'cid': '0d802c1e-1ef9-4492-8e31-bd16e935e6df', 'uuid': '3a0d0847-63be-4d31-bafc-d8d0f99a5f21', 'annotationId': '54ac775d-4f13-4e97-8d95-9096cd0d5921', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773680722786, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:05:23.011Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",300.0,301.14,000000000DFEC3B8,300.0,300.18,22160332.0,3700.0,3699.29,000000000DFEC3B1,1100.0,1099.47,21470046.0,-0.01,22.7,17.87,1600.0,1600.39,22450161.0
