component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.0708312988281,605.7990112304688,5039.94921875,5457.48828125,5444.2919921875,5429.41552734375,7445.82958984375,6610.2998046875,207.27883911132807,181121872,3158.4931640625,24300.5625,198.78204345703125,2403.645263671875,2550.302734375,2782.028076171875,152.25128173828125,2765.739013671875,2288.27392578125,13717.1181640625,137469.453125,71129.4375,27028.7421875,21558.2890625,107.4763641357422,117.39749145507812,758.7236938476562,435.3204040527344,214.08724975585935,1037.7349853515625,296.6959533691406,139.74334716796875,470.1531372070313,397.0779724121094,422.87200927734375,267.9871826171875,2526.3203125,2182.97216796875,709.59033203125,809.2881469726562,349.2934875488281,26420.990234375,13940.46875,7620.724609375,1907.610595703125,179718576,1188.9068603515625,459.4985656738281,65548.375,65733.1640625,59710.97265625,79733.1796875,326.29180908203125,21267.8828125,357.8616943359375,296.2618408203125,21113.73046875,23093.12109375,20655.853515625,22688.65234375,9284.0458984375,8827.380859375,8415.9736328125,7748.4970703125,8953,27.120880126953125,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.54178237915039,20.39805603027344,992.12158203125,300830.84375,4.3238911628723145,0,13180202,True,BME690,29923,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:22.000,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,17.03,3700.0,3702.83,000000000DFEC3B1,1600.0,1595.12,22450161.0,300.0,296.58,000000000DFEC3B8,-0.0,30.0,29.87,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.3551635742188,606.351806640625,5039.21337890625,5457.81787109375,5444.35693359375,5429.7060546875,7446.08447265625,6610.40234375,207.30322265625,181146848,3155.3212890625,24273.1171875,198.7714385986328,2388.380859375,2548.5556640625,2778.01513671875,152.2308807373047,2773.503173828125,2294.010009765625,13687.5126953125,137490.53125,71116.0703125,27028.328125,21557.7421875,107.50833892822266,117.3682861328125,757.6376953125,435.3733215332031,214.10581970214844,1035.6817626953125,296.7225341796875,139.75807189941406,470.0753173828125,397.0496826171875,422.8177185058594,267.9232177734375,2524.79443359375,2184.31884765625,709.5906372070312,809.3594970703125,349.25457763671875,26466.283203125,13939.955078125,7620.265625,1907.8707275390625,179229312,1188.64208984375,459.3552551269531,65555.453125,65727.921875,59719.9609375,79720.4296875,326.07843017578125,21319.130859375,357.79071044921875,296.25787353515625,21113.673828125,23095.095703125,20655.513671875,22688.5703125,9283.9208984375,8827.74609375,8415.8564453125,7748.32177734375,9252,27.28205108642578,28.89377212524414,0,0,0,0,0,0,0,0,0,0,0,1,23.54178237915039,20.39805603027344,992.12158203125,300830.84375,4.3238911628723145,0,13180202,True,BME690,29923,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:22.299,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,17.09,3700.0,3702.83,000000000DFEC3B1,1600.0,1595.12,22450161.0,300.0,296.58,000000000DFEC3B8,-0.0,30.0,29.87,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.1603088378906,606.2119140625,5039.20654296875,5457.53857421875,5445.5400390625,5429.44677734375,7446.30859375,6610.13671875,207.15493774414065,181333216,3157.421142578125,24171.08984375,198.6441192626953,2390.085205078125,2545.636474609375,2791.06640625,152.24790954589844,2773.443115234375,2293.417236328125,13712.1669921875,137457.28125,71108.8203125,27027.73828125,21561.98828125,107.50111389160156,117.4350814819336,756.2109985351562,434.6525268554688,214.0576171875,1037.825927734375,296.8297119140625,139.75674438476562,470.1581115722656,396.9732666015625,422.7231140136719,267.933837890625,2525.823486328125,2184.335693359375,709.6005859375,809.3421630859375,349.2770080566406,26477.42578125,13941.1533203125,7620.26123046875,1906.024658203125,178716736,1189.0892333984375,459.11175537109375,65549.203125,65733.1796875,59719.1640625,79724.7578125,325.579345703125,21180.49609375,357.8680725097656,296.2099914550781,21115.69921875,23095.171875,20654.107421875,22687.96484375,9285.2509765625,8828.8994140625,8416.3828125,7748.2607421875,9553,27.04029083251953,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.54178237915039,20.39805603027344,992.1232299804688,300004.59375,4.3238911628723145,0,13180642,True,BME690,29924,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:22.600,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.57,17.21,3700.0,3702.48,000000000DFEC3B1,1600.0,1595.4,22450161.0,300.0,296.6,000000000DFEC3B8,-0.0,30.0,29.87,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.1071166992188,605.9464721679688,5040.1015625,5457.4892578125,5445.140625,5429.35791015625,7446.02783203125,6610.28564453125,207.32220458984372,181462816,3154.82763671875,24173.328125,198.77593994140625,2386.35888671875,2546.499267578125,2783.67578125,152.28976440429688,2769.7744140625,2291.90625,13686.5029296875,137477.234375,71101.0,27031.359375,21561.587890625,107.49677276611328,117.38106536865234,757.8703002929688,435.04107666015625,214.0798797607422,1034.6968994140625,296.763916015625,139.72438049316406,470.2254333496094,396.9920654296875,422.9095458984375,267.95330810546875,2525.682861328125,2184.360595703125,709.5829467773438,809.2802124023438,349.2758483886719,26417.873046875,13940.6396484375,7620.94140625,1908.40673828125,176663936,1188.921875,459.2819213867188,65553.1640625,65723.8515625,59719.08984375,79734.375,326.3611755371094,21196.341796875,357.818603515625,296.2394104003906,21121.8125,23094.787109375,20655.6328125,22687.185546875,9285.2099609375,8829.318359375,8415.3232421875,7747.611328125,9854,27.04029083251953,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.54144859313965,20.398073196411133,992.1207885742188,300623.875,4.323812961578369,0,13181083,True,BME690,29925,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:22.901,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.34,3700.0,3701.2,000000000DFEC3B1,1600.0,1596.47,22450161.0,300.0,296.69,000000000DFEC3B8,-0.01,30.0,29.87,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.44384765625,605.99462890625,5039.80810546875,5457.42822265625,5444.796875,5429.69189453125,7446.0615234375,6609.9541015625,207.2866058349609,181408864,3160.014404296875,24132.806640625,198.7291259765625,2391.270751953125,2553.048828125,2788.84521484375,152.21798706054688,2768.367919921875,2298.827392578125,13625.5322265625,137490.265625,71131.3984375,27031.73828125,21565.169921875,107.50605010986328,117.38845825195312,756.8514404296875,434.28460693359375,214.1150665283203,1037.3179931640625,296.7314758300781,139.73468017578125,470.2265930175781,397.0355224609375,422.846923828125,267.9667663574219,2525.49853515625,2184.06201171875,709.69580078125,809.3363037109375,349.3553466796875,26488.572265625,13940.1416015625,7621.5380859375,1903.652099609375,177019456,1191.3514404296875,458.7744140625,65558.734375,65726.3671875,59713.46484375,79737.078125,326.9170837402344,21353.740234375,357.6666259765625,296.045654296875,21117.201171875,23095.5234375,20654.880859375,22688.9609375,9283.8193359375,8829.16796875,8414.8955078125,7747.7998046875,10157,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.54144859313965,20.398073196411133,992.1207885742188,300623.875,4.323812961578369,0,13181083,True,BME690,29925,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:23.204,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.46,3700.0,3699.91,000000000DFEC3B1,1600.0,1597.55,22450161.0,300.0,296.78,000000000DFEC3B8,-0.01,30.0,29.87,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,460.8877258300781,606.1842041015625,5037.51318359375,5457.37451171875,5444.3203125,5429.015625,7446.2685546875,6610.39599609375,207.11965942382807,181360336,3152.16064453125,24249.212890625,198.7367248535156,2392.222900390625,2551.31591796875,2781.632568359375,152.23863220214844,2774.92041015625,2293.53955078125,13570.8974609375,137461.046875,71118.375,27032.935546875,21561.548828125,107.49108123779295,117.40287017822266,757.8045654296875,434.8364868164063,214.10601806640625,1035.4383544921875,296.6819152832031,139.7154998779297,470.2059631347656,397.073486328125,422.8113708496094,267.9578857421875,2524.537841796875,2184.4619140625,709.647216796875,809.3858642578125,349.3770446777344,26455.888671875,13938.640625,7621.32763671875,1906.8026123046875,177267088,1188.79638671875,459.5469055175781,65555.5703125,65729.9375,59711.4609375,79728.921875,327.05645751953125,21315.69140625,357.5614013671875,296.1040954589844,21116.66015625,23093.115234375,20654.25,22688.791015625,9284.734375,8829.6572265625,8416.0986328125,7747.88720703125,10456,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.54144859313965,20.40401077270508,992.1207885742188,300417.125,4.325071334838867,0,13181523,True,BME690,29926,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:23.503,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.51,3700.0,3698.64,000000000DFEC3B1,1600.0,1598.62,22450161.0,300.0,296.87,000000000DFEC3B8,-0.01,30.0,29.87,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.5068054199219,606.1146240234375,5038.751953125,5456.93408203125,5445.0732421875,5429.46142578125,7445.9384765625,6609.84716796875,207.0955047607422,181226768,3157.863525390625,24352.955078125,198.8769378662109,2396.004638671875,2550.145751953125,2787.309326171875,152.2501983642578,2765.81884765625,2289.97412109375,13581.8291015625,137447.59375,71117.0078125,27027.025390625,21563.50390625,107.4853515625,117.38269805908205,757.5366821289062,434.6661376953125,214.1074676513672,1037.005615234375,296.5932312011719,139.7039031982422,470.133544921875,397.011962890625,422.8747253417969,267.91485595703125,2525.578369140625,2183.76171875,709.552490234375,809.3900146484375,349.30877685546875,26453.181640625,13940.041015625,7620.875,1905.41650390625,177562832,1191.64501953125,459.2326354980469,65559.0625,65732.0,59716.6484375,79714.9296875,326.7787780761719,21373.30078125,357.5883178710937,296.1650085449219,21116.638671875,23092.765625,20654.337890625,22690.27734375,9284.353515625,8824.8916015625,8416.388671875,7748.2939453125,10757,27.120880126953125,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.54111671447754,20.40996551513672,992.1068115234376,301038.125,4.32625150680542,0,13181963,True,BME690,29927,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:23.804,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.57,3700.0,3697.36,000000000DFEC3B1,1600.0,1598.57,22450161.0,300.0,297.97,000000000DFEC3B8,-0.01,30.0,29.89,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.3184509277344,606.2708129882812,5038.216796875,5457.25537109375,5445.1728515625,5429.4423828125,7446.09423828125,6611.22998046875,207.0989532470703,181040720,3159.205078125,24338.65625,198.81971740722656,2388.70703125,2557.139892578125,2782.515380859375,152.25450134277344,2757.71435546875,2294.551025390625,13645.275390625,137474.21875,71113.390625,27032.998046875,21559.236328125,107.5304946899414,117.41726684570312,757.3048706054688,434.542236328125,214.09262084960935,1035.6605224609375,296.7564697265625,139.7298583984375,470.1853637695313,396.9908142089844,422.8267211914063,267.9183044433594,2525.283447265625,2184.292724609375,709.5765991210938,809.3357543945312,349.2654724121094,26479.986328125,13938.9755859375,7620.88232421875,1903.9854736328125,177604080,1192.0809326171875,459.5014343261719,65555.0859375,65737.1875,59723.96875,79704.9765625,326.6669311523437,21277.970703125,357.5553894042969,296.2421264648437,21118.62109375,23094.95703125,20654.43359375,22688.63671875,9283.9560546875,8829.1396484375,8416.1171875,7748.572265625,11059,27.201465606689453,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.54111671447754,20.40996551513672,992.1068115234376,301038.125,4.32625150680542,0,13181963,True,BME690,29927,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:24.106,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.63,3700.0,3696.07,000000000DFEC3B1,1600.0,1598.4,22450161.0,300.0,299.2,000000000DFEC3B8,-0.01,30.0,29.91,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,460.9573364257813,606.129150390625,5038.919921875,5456.626953125,5445.54345703125,5429.61376953125,7445.82470703125,6610.8427734375,207.11412048339844,180995136,3157.984619140625,24213.578125,198.86715698242188,2385.79296875,2550.424560546875,2793.268310546875,152.21470642089844,2761.44140625,2289.82861328125,13611.7412109375,137462.46875,71128.2421875,27052.6953125,21563.08203125,107.48226165771484,117.38776397705078,757.8938598632812,434.5951843261719,214.11279296875,1037.454345703125,296.67352294921875,139.7373504638672,470.1712646484375,397.0647277832031,422.9192504882813,267.9116516113281,2525.41455078125,2184.791259765625,709.5792236328125,809.2781372070312,349.3864440917969,26450.396484375,13932.32421875,7620.03466796875,1906.16650390625,177281392,1190.798828125,459.3935546875,65551.890625,65733.28125,59716.16015625,79703.3828125,326.6597595214844,21137.23828125,357.3775939941406,296.30828857421875,21116.01171875,23094.40625,20654.7109375,22690.69921875,9283.599609375,8827.7421875,8416.064453125,7747.9130859375,11359,27.201465606689453,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.54111671447754,20.398088455200195,992.0211181640624,301453.53125,4.323734283447266,0,13182404,True,BME690,29928,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:24.406,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.61,3700.0,3694.79,000000000DFEC3B1,1600.0,1598.23,22450161.0,300.0,300.42,000000000DFEC3B8,-0.01,30.0,29.92,22160332.0,1370.0,1369.84,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,4bcfce31-3090-4bdf-853b-b0c3a822073c,35cbdfe4-7015-4f7f-aacd-f4e0641f5b79,461.3328857421875,605.809814453125,5039.4375,5457.0712890625,5445.91748046875,5429.48486328125,7445.88330078125,6610.13232421875,207.08859252929688,180966832,3158.13818359375,24262.357421875,198.69729614257807,2397.23486328125,2551.759765625,2786.884521484375,152.24533081054688,2772.4296875,2291.607666015625,13592.642578125,137475.484375,71127.703125,27050.029296875,21571.853515625,107.47952270507812,117.3915786743164,757.501220703125,434.5444946289063,214.17459106445312,1040.3697509765625,296.7315673828125,139.73309326171875,470.2355346679688,396.9453125,422.7874450683594,267.95068359375,2525.38818359375,2184.234130859375,709.55859375,809.3338623046875,349.4832763671875,26483.2265625,13939.6767578125,7620.27734375,1907.00146484375,177091600,1190.965087890625,459.4564208984375,65555.75,65731.265625,59709.6796875,79703.9765625,326.347900390625,21350.611328125,357.75762939453125,295.88653564453125,21112.654296875,23093.638671875,20653.79296875,22689.837890625,9283.4384765625,8828.5283203125,8416.0556640625,7748.390625,11660,27.120880126953125,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.54111671447754,20.38620948791504,991.948486328125,299798.71875,4.321216583251953,0,13182844,True,BME690,29929,0,0,0,13178595,24484,0,31.95267868041992,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-10ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 29, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:23:24.707,"{'cid': '7e68998b-1ea1-4f9f-90d1-fce6d15e79f1', 'uuid': '1919e164-5d2a-4e84-ac2a-a13953aec3f3', 'annotationId': '4bcfce31-3090-4bdf-853b-b0c3a822073c', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773681801685, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:23:21.915Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.56,17.57,3700.0,3694.95,000000000DFEC3B1,1600.0,1598.31,22450161.0,300.0,299.89,000000000DFEC3B8,-0.01,30.0,29.93,22160332.0,1370.0,1369.85,21470046.0
