component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,FLW0_181225,SETP0_184324,FLW0_184324,ANLT0_184324
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.6871948242188,657.678466796875,5063.79345703125,5488.17822265625,5476.8486328125,5461.93310546875,7497.43408203125,6657.9130859375,212.0531463623047,185103552,3249.047607421875,25599.228515625,207.70083618164065,2467.464599609375,2653.985107421875,2997.549560546875,157.0637969970703,2823.951904296875,2418.65576171875,21488.48828125,138925.0,71689.1328125,27227.958984375,21648.6640625,108.51472473144533,118.0732879638672,769.13134765625,443.810546875,227.36399841308597,1151.6505126953125,311.2666015625,141.27833557128906,472.5654296875,398.8274536132813,424.5723876953125,268.8553466796875,2546.489013671875,2199.285888671875,712.1962890625,813.287109375,378.77044677734375,32043.541015625,14026.9375,7660.77197265625,1927.124755859375,171807408,1218.583984375,467.5944519042969,66116.28125,66327.28125,60204.38671875,80398.890625,330.9432067871094,21560.970703125,370.666015625,304.7266540527344,21201.59765625,23219.763671875,20758.8828125,22745.298828125,9355.3359375,8896.2958984375,8494.28515625,7816.0830078125,9794,26.798534393310547,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,23.14145278930664,22.86067008972168,994.3163452148438,282543.65625,4.736672878265381,0,6971841,True,BME690,15827,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:52.861,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.42,17.86,1600.0,1595.92,22450161.0,3700.0,3702.34,000000000DFEC3B1,300.0,301.37,000000000DFEC3B8,15.0,5.35,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.3471374511719,657.69873046875,5063.9140625,5488.18359375,5476.61669921875,5461.5859375,7496.18896484375,6658.8701171875,212.05909729003903,184907728,3239.330322265625,25592.91796875,207.77896118164065,2479.5224609375,2648.331787109375,3000.357177734375,157.10853576660156,2819.043701171875,2422.700927734375,21700.515625,138886.75,71693.1328125,27232.650390625,21649.255859375,108.47767639160156,118.02487182617188,769.794677734375,443.8048706054688,227.41168212890625,1152.6878662109375,311.2997436523437,141.3166961669922,472.5237121582031,398.8934631347656,424.6428527832031,268.91534423828125,2546.143310546875,2198.40478515625,712.1122436523438,813.3706665039062,378.7710571289063,31989.533203125,14025.263671875,7661.16015625,1928.1553955078125,171740768,1219.38037109375,467.5661315917969,66118.75,66323.0859375,60207.17578125,80401.28125,331.28692626953125,21518.857421875,370.72369384765625,304.2254333496094,21200.42578125,23219.224609375,20757.849609375,22749.3359375,9355.0634765625,8896.9189453125,8494.8046875,7815.76611328125,10094,26.959705352783203,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,23.14145278930664,22.86067008972168,994.3163452148438,282543.65625,4.736672878265381,0,6971841,True,BME690,15827,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:53.159,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.42,17.96,1600.0,1595.92,22450161.0,3700.0,3702.34,000000000DFEC3B1,300.0,301.37,000000000DFEC3B8,15.0,5.35,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.4014892578125,657.8231811523438,5064.1328125,5488.14453125,5476.89794921875,5461.60888671875,7496.2724609375,6659.3505859375,212.10052490234372,184809552,3251.500732421875,25678.19921875,207.7508544921875,2475.00439453125,2650.22119140625,2993.805908203125,157.0748291015625,2809.947509765625,2416.216796875,21383.169921875,138888.71875,71674.1171875,27231.947265625,21659.736328125,108.5118408203125,118.0547103881836,767.3837890625,443.8556213378906,227.41241455078125,1155.7947998046875,311.116455078125,141.26605224609375,472.5370788574219,398.853759765625,424.483154296875,268.8734741210937,2545.401123046875,2198.871826171875,712.1165161132812,813.3491821289062,378.8087463378906,32013.46484375,14023.5517578125,7661.72998046875,1931.679443359375,171546816,1216.890380859375,468.1705322265625,66111.3515625,66317.578125,60204.53515625,80390.2890625,330.89697265625,21552.958984375,370.9237365722656,304.7673034667969,21203.783203125,23219.123046875,20758.09765625,22746.01953125,9353.9814453125,8896.6005859375,8494.3564453125,7815.82373046875,10395,26.959705352783203,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.14145278930664,22.872528076171875,994.3179931640624,281996.5625,4.739129543304443,0,6972281,True,BME690,15828,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:53.462,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.41,18.07,1600.0,1596.25,22450161.0,3700.0,3702.41,000000000DFEC3B1,300.0,301.73,000000000DFEC3B8,15.0,6.22,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.0051574707031,658.0018310546875,5063.33447265625,5487.77099609375,5477.06005859375,5461.9638671875,7496.548828125,6658.626953125,212.00558471679688,185339760,3244.544189453125,25582.287109375,207.7015838623047,2467.72607421875,2650.391845703125,2997.214599609375,157.0728302001953,2820.39111328125,2415.954833984375,21516.919921875,138863.140625,71680.296875,27222.87109375,21650.82421875,108.48137664794922,118.0586395263672,767.425048828125,443.843505859375,227.4278106689453,1154.308349609375,311.20965576171875,141.31948852539062,472.52099609375,398.8695373535156,424.5437622070313,268.89996337890625,2545.31591796875,2198.25244140625,712.0618286132812,813.3433837890625,378.6683349609375,32007.4765625,14019.154296875,7661.1845703125,1927.037109375,171478640,1216.9405517578125,467.6290283203125,66117.9609375,66319.890625,60205.03125,80397.1640625,330.8489074707031,21528.44140625,370.7301635742188,304.5330505371094,21204.23046875,23216.998046875,20759.171875,22747.091796875,9353.7607421875,8898.0380859375,8495.369140625,7815.57421875,10697,26.879119873046875,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.14145278930664,22.872528076171875,994.3213500976562,283460.1875,4.739129543304443,0,6972722,True,BME690,15829,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:53.762,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.41,18.17,1600.0,1597.18,22450161.0,3700.0,3702.62,000000000DFEC3B1,300.0,302.81,000000000DFEC3B8,15.0,9.06,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.432861328125,657.7783813476562,5064.1904296875,5487.5078125,5476.59716796875,5461.787109375,7495.908203125,6659.00048828125,212.07760620117188,185066992,3248.288818359375,25557.369140625,207.75894165039065,2478.200439453125,2654.1298828125,3006.98876953125,157.053466796875,2822.919189453125,2417.392333984375,21557.802734375,138926.28125,71690.0,27209.970703125,21654.275390625,108.51628112792967,118.04158020019533,769.067138671875,444.0205993652344,227.3807830810547,1153.1243896484375,311.2314147949219,141.26504516601562,472.5999145507813,398.9426879882813,424.5740966796875,268.8406677246094,2546.45849609375,2199.34326171875,712.1512451171875,813.238525390625,378.6765747070313,31987.01953125,14022.205078125,7661.3876953125,1927.7081298828125,171244864,1218.826904296875,467.75146484375,66123.8125,66323.0390625,60205.1015625,80398.5859375,331.1561889648437,21574.03125,370.880615234375,304.6885986328125,21200.513671875,23216.603515625,20758.60546875,22748.0078125,9354.3447265625,8897.3603515625,8494.53515625,7815.84912109375,10997,27.04029083251953,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.14145278930664,22.872528076171875,994.3213500976562,283460.1875,4.739129543304443,0,6972722,True,BME690,15829,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:54.061,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.41,18.25,1600.0,1598.1,22450161.0,3700.0,3702.82,000000000DFEC3B1,300.0,303.88,000000000DFEC3B8,15.0,11.88,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.5729064941406,657.5661010742188,5064.62109375,5488.0751953125,5477.23486328125,5461.93603515625,7496.857421875,6659.5166015625,212.0977325439453,184793728,3246.02783203125,25608.921875,207.7360076904297,2474.111328125,2654.584716796875,2997.42529296875,157.0145721435547,2816.968017578125,2416.1318359375,21705.72265625,138939.875,71692.5546875,27232.91796875,21652.6484375,108.50064086914062,118.06217193603516,769.6220092773438,443.6707153320313,227.37767028808597,1150.64794921875,311.3048400878906,141.3292999267578,472.57763671875,398.8660278320313,424.5469055175781,268.9178161621094,2545.7099609375,2199.039794921875,712.1193237304688,813.341064453125,378.6780395507813,32067.900390625,14020.21875,7661.244140625,1931.2178955078125,171303424,1219.9395751953125,467.5987243652344,66117.796875,66326.84375,60200.9375,80397.3359375,331.3021850585937,21666.95703125,370.63525390625,304.7230529785156,21210.93359375,23216.541015625,20757.7890625,22746.947265625,9354.4521484375,8897.3115234375,8494.5400390625,7815.8740234375,11298,26.798534393310547,28.732601165771484,0,0,0,0,0,0,0,0,0,0,0,1,23.141786575317383,22.884374618530277,994.32373046875,283092.875,4.741674423217773,0,6973162,True,BME690,15830,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:54.363,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.42,18.32,1600.0,1599.04,22450161.0,3700.0,3703.03,000000000DFEC3B1,300.0,304.96,000000000DFEC3B8,15.0,14.74,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.5277404785156,657.6348266601562,5064.31396484375,5487.85546875,5477.00927734375,5462.09326171875,7496.255859375,6658.9599609375,212.15452575683597,184505056,3241.1650390625,25546.376953125,207.6706695556641,2466.314208984375,2649.950439453125,2997.987060546875,157.09019470214844,2827.733154296875,2423.072265625,21955.337890625,138969.046875,71696.828125,27233.7734375,21655.8046875,108.49856567382812,118.04745483398438,769.5643310546875,443.8992919921875,227.38238525390625,1150.171142578125,311.4364624023437,141.25698852539062,472.6281433105469,398.8577880859375,424.60198974609375,268.9036865234375,2545.405029296875,2198.918212890625,712.1412963867188,813.353759765625,378.6661376953125,32078.09375,14022.712890625,7661.142578125,1929.0966796875,171433712,1218.740234375,467.7196960449219,66117.921875,66326.21875,60204.421875,80400.6640625,331.3285522460937,21711.732421875,370.609619140625,304.9068298339844,21215.2109375,23220.58203125,20757.431640625,22747.359375,9353.2109375,8898.4365234375,8495.2744140625,7815.84130859375,11599,26.879119873046875,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.141786575317383,22.89623260498047,994.2479858398438,283460.1875,4.744132041931152,0,6973602,True,BME690,15831,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:54.665,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.42,18.39,1600.0,1599.14,22450161.0,3700.0,3701.95,000000000DFEC3B1,300.0,304.66,000000000DFEC3B8,15.0,14.91,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,499.4409484863281,657.3923950195312,5063.78662109375,5487.662109375,5477.25537109375,5462.0126953125,7496.68115234375,6658.14453125,212.0234375,184368480,3243.728515625,25556.546875,207.71795654296875,2477.279541015625,2652.844970703125,2998.469970703125,157.0490264892578,2818.9033203125,2414.098876953125,21597.203125,138982.09375,71679.59375,27227.572265625,21658.9921875,108.53201293945312,118.06227111816406,770.501708984375,443.68310546875,227.38787841796875,1151.6651611328125,311.3826599121094,141.33602905273438,472.5416259765625,398.8711242675781,424.6261596679688,268.8964233398437,2546.071044921875,2199.318359375,712.1030883789062,813.3251953125,378.7556762695313,32022.455078125,14024.138671875,7661.5341796875,1932.476318359375,171430752,1214.631103515625,467.69964599609375,66121.203125,66324.828125,60213.7265625,80397.7890625,331.3271179199219,21722.646484375,370.7405700683594,305.03472900390625,21201.677734375,23220.513671875,20758.35546875,22747.875,9352.2724609375,8898.1669921875,8494.7099609375,7815.7568359375,11901,26.959705352783203,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.141786575317383,22.89623260498047,994.2479858398438,283460.1875,4.744132041931152,0,6973602,True,BME690,15831,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:54.969,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.42,18.42,1600.0,1599.23,22450161.0,3700.0,3700.87,000000000DFEC3B1,300.0,304.34,000000000DFEC3B8,15.0,14.93,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,498.47412109375,657.6456909179688,5064.15185546875,5487.36767578125,5477.2021484375,5461.84716796875,7496.54638671875,6659.4169921875,212.0336456298828,184268288,3240.503173828125,25655.51171875,207.7374420166016,2474.26416015625,2655.288330078125,2996.963623046875,157.0304412841797,2815.7080078125,2415.794921875,21543.4765625,138937.5,71683.34375,27233.44921875,21655.3515625,108.4774932861328,118.08130645751952,770.2752075195312,443.810546875,227.50950622558597,1152.1546630859375,311.3686218261719,141.27386474609375,472.5778503417969,398.8347473144531,424.5652160644531,268.8536682128906,2545.666015625,2198.4482421875,712.1398315429688,813.3076782226562,378.6899108886719,31940.7734375,14021.322265625,7660.8212890625,1932.8553466796875,171622432,1221.1368408203125,467.7259826660156,66119.328125,66319.8984375,60213.3984375,80397.453125,331.1376953125,21788.87109375,370.5142517089844,305.12945556640625,21199.681640625,23219.59375,20758.3671875,22745.359375,9354.279296875,8898.4765625,8494.1630859375,7815.59423828125,12201,26.959705352783203,28.81318664550781,0,0,0,0,0,0,0,0,0,0,0,1,23.142452239990234,22.90213394165039,994.1819458007812,282178.6875,4.745535373687744,0,6974043,True,BME690,15832,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:55.266,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.41,18.39,1600.0,1599.33,22450161.0,3700.0,3699.8,000000000DFEC3B1,300.0,304.03,000000000DFEC3B8,15.0,14.95,22160332.0,-0.0,1385.0,1383.92,21470046.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,33205193-f1f8-4905-abe7-851767900491,e02ff64d-ff3e-41cd-bab8-4c2fe9034b70,498.7404479980469,657.672119140625,5063.880859375,5487.58935546875,5477.86279296875,5461.853515625,7495.35791015625,6660.0830078125,212.00889587402344,184269136,3236.094970703125,25427.1796875,207.7474822998047,2473.625244140625,2656.22314453125,2995.208984375,157.0443115234375,2823.205810546875,2415.115478515625,21631.962890625,138947.71875,71683.921875,27225.353515625,21649.302734375,108.5290756225586,118.06761169433594,768.5234985351562,443.5818786621094,227.35546875,1152.3914794921875,311.1945495605469,141.3130645751953,472.536376953125,398.8140869140625,424.5724182128906,268.8326416015625,2546.799560546875,2198.781005859375,712.0145263671875,813.3317260742188,378.732421875,31980.3515625,14022.1416015625,7660.8408203125,1930.44677734375,173231888,1219.21484375,468.11920166015625,66115.859375,66318.9375,60208.02734375,80400.890625,331.2229309082031,21756.98046875,370.7026672363281,304.5971984863281,21206.931640625,23220.3125,20757.953125,22745.083984375,9352.6103515625,8897.615234375,8494.27734375,7815.59423828125,12503,26.879119873046875,28.652013778686523,0,0,0,0,0,0,0,0,0,0,0,1,23.14311790466309,22.89617729187012,994.1242065429688,281996.5625,4.744480133056641,0,6974484,True,BME690,15833,0,0,0,6970503,24484,0,31.604278564453125,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-5ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 2, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 15:39:55.568,"{'cid': 'ec1c3749-b580-4cae-942c-c2ad3ffd44a2', 'uuid': '9416907f-cb00-408a-bdf3-f8f3352ffb8b', 'annotationId': '33205193-f1f8-4905-abe7-851767900491', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773675592434, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T15:39:52.746Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.41,18.37,1600.0,1599.31,22450161.0,3700.0,3699.56,000000000DFEC3B1,300.0,302.67,000000000DFEC3B8,15.0,14.94,22160332.0,-0.01,1385.0,1384.2,21470046.0
