component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_184324,FLW0_184324,ANLT0_184324,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_813024,FLW0_813024,ANLT0_813024,FLW0_181225,SETP0_184225,FLW0_184225,ANLT0_184225
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,453.8630065917969,594.9647827148438,5027.978515625,5448.32177734375,5438.8076171875,5420.6357421875,7431.89404296875,6596.1064453125,206.34442138671875,181491776,3106.74365234375,23339.59375,196.7211761474609,2379.647705078125,2525.32275390625,2734.3056640625,151.39540100097656,2743.62890625,2275.9970703125,13246.453125,136994.953125,70885.9140625,26993.697265625,21548.458984375,107.27995300292967,117.24088287353516,755.1861572265625,433.5318908691406,210.6346893310547,1004.9070434570312,294.38934326171875,139.46078491210938,469.5523071289063,396.66351318359375,422.6643981933594,267.63458251953125,2517.689697265625,2176.278076171875,708.8883056640625,808.643798828125,344.5535888671875,24580.337890625,13925.03125,7611.7490234375,1899.0177001953125,174173392,1183.8392333984375,457.67724609375,65365.40234375,65557.5546875,59549.05859375,79492.65625,325.456298828125,20990.2734375,356.0885009765625,293.5370178222656,21091.841796875,23064.6953125,20633.287109375,22662.5625,9263.978515625,8805.7607421875,8398.4140625,7732.525390625,9277,27.120880126953125,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.524477005004883,19.436664581298828,991.89794921875,305244.53125,4.116047382354736,0,14260541,True,BME690,32376,0,0,0,14256572,24484,0,31.940710067749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:22.472,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.79,17.76,1175.0,1173.84,21470046.0,3700.0,3698.54,000000000DFEC3B1,300.0,300.39,000000000DFEC3B8,1600.0,1594.4,22450161.0,-0.01,225.0,224.72,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.0635986328125,594.7863159179688,5028.27001953125,5448.318359375,5439.00537109375,5420.90576171875,7432.1494140625,6597.71728515625,206.35964965820312,180259792,3119.8916015625,23314.888671875,196.66925048828125,2361.77099609375,2522.51025390625,2732.1630859375,151.37791442871094,2741.787841796875,2280.4658203125,13139.703125,137005.28125,70893.1875,26996.587890625,21549.41796875,107.28970336914062,117.31314849853516,754.9268188476562,433.3532104492188,210.6335906982422,1005.9536743164062,294.5093994140625,139.5003662109375,469.4842529296875,396.6130065917969,422.6351013183594,267.6346130371094,2518.288818359375,2176.46630859375,708.95166015625,808.6939697265625,344.5160522460937,24584.203125,13925.26953125,7611.90283203125,1899.235595703125,174069424,1183.9569091796875,457.6962585449219,65359.5703125,65551.1171875,59554.45703125,79504.984375,325.52587890625,20922.408203125,355.9971923828125,293.6451721191406,21091.681640625,23065.259765625,20633.60546875,22662.09375,9264.6435546875,8804.6796875,8397.6591796875,7732.81640625,9578,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.524477005004883,19.436664581298828,991.89794921875,305244.53125,4.116047382354736,0,14260541,True,BME690,32376,0,0,0,14256572,24484,0,31.940710067749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:22.776,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.78,17.78,1175.0,1173.84,21470046.0,3700.0,3698.54,000000000DFEC3B1,300.0,300.39,000000000DFEC3B8,1600.0,1594.4,22450161.0,-0.01,225.0,224.72,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.4486389160156,594.6377563476562,5028.93701171875,5448.23779296875,5439.63916015625,5420.6455078125,7432.2529296875,6596.6337890625,206.435791015625,179967216,3112.5146484375,23332.744140625,196.70657348632807,2366.851318359375,2526.864013671875,2724.8408203125,151.3740997314453,2738.809814453125,2278.772705078125,13152.234375,136991.484375,70920.8125,26995.357421875,21541.80859375,107.29412841796876,117.30831909179688,753.0593872070312,433.0390930175781,210.62571716308597,1005.5906982421876,294.44219970703125,139.46759033203125,469.5650329589844,396.5736083984375,422.6036682128906,267.6547546386719,2518.23779296875,2176.8955078125,708.960205078125,808.6607666015625,344.5064392089844,24569.97265625,13926.63671875,7612.44970703125,1898.2386474609373,173943744,1185.7218017578125,457.3326416015625,65372.02734375,65546.21875,59551.16796875,79498.984375,325.1978759765625,20963.291015625,355.75567626953125,294.0208435058594,21091.904296875,23059.443359375,20633.533203125,22663.580078125,9263.0537109375,8805.8125,8398.0751953125,7732.4970703125,9879,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.524477005004883,19.436664581298828,991.89794921875,306099.96875,4.116047382354736,0,14260982,True,BME690,32377,0,0,0,14256572,24484,0,31.940710067749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:23.074,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.78,17.8,1175.0,1173.51,21470046.0,3700.0,3699.25,000000000DFEC3B1,300.0,300.08,000000000DFEC3B8,1600.0,1595.36,22450161.0,-0.01,225.0,224.72,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.0641174316406,594.9471435546875,5028.7587890625,5448.2568359375,5439.4892578125,5421.1435546875,7431.1875,6596.830078125,206.466796875,179768752,3113.255859375,23461.07421875,196.5951232910156,2363.706787109375,2527.695068359375,2729.239501953125,151.4102325439453,2744.010498046875,2275.62109375,13078.525390625,137005.5625,70900.890625,26991.94921875,21538.158203125,107.29644775390624,117.28379821777344,753.5377197265625,433.7770080566406,210.6429443359375,1004.757568359375,294.4716796875,139.48049926757812,469.628662109375,396.6252136230469,422.6809692382813,267.6558532714844,2517.99951171875,2176.853515625,709.0252075195312,808.6448974609375,344.4454345703125,24572.2421875,13926.109375,7612.8359375,1899.71875,173870928,1185.3275146484375,457.504638671875,65360.2890625,65549.5,59567.6171875,79496.0625,325.660400390625,21060.91796875,355.7724914550781,293.58270263671875,21091.076171875,23064.24609375,20633.1015625,22662.828125,9264.2705078125,8804.3828125,8396.8447265625,7732.65771484375,10181,27.28205108642578,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.524477005004883,19.442604064941406,991.899658203125,304393.875,4.117305278778076,0,14261423,True,BME690,32378,0,0,0,14256572,24484,0,31.940710067749023,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:23.376,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.77,17.82,1175.0,1173.18,21470046.0,3700.0,3699.98,000000000DFEC3B1,300.0,299.76,000000000DFEC3B8,1600.0,1596.37,22450161.0,-0.01,225.0,224.72,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.5129089355469,594.862548828125,5027.8271484375,5448.43994140625,5438.880859375,5420.61767578125,7431.4931640625,6596.7939453125,206.49176025390625,179674480,3113.855224609375,23520.34765625,196.66107177734372,2361.728759765625,2531.690673828125,2735.737548828125,151.39999389648438,2739.0615234375,2283.45654296875,13129.96875,136995.59375,70888.3828125,26991.146484375,21537.41015625,107.28817749023438,117.25851440429688,753.7177124023438,433.4247741699219,210.6542816162109,1006.8095703125,294.3719177246094,139.50621032714844,469.6366271972656,396.5612182617188,422.5901489257813,267.6785583496094,2517.7119140625,2176.430419921875,708.954345703125,808.6070556640625,344.4046630859375,24577.986328125,13926.0341796875,7612.44677734375,1895.9893798828125,173880368,1185.4197998046875,457.5154113769531,65360.43359375,65548.75,59568.3984375,79495.59375,326.1711730957031,21020.63671875,355.9761962890625,294.06939697265625,21091.12890625,23067.20703125,20633.18359375,22663.3671875,9262.2578125,8806.8125,8398.1298828125,7732.5654296875,10481,27.201465606689453,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.524477005004883,19.442604064941406,991.899658203125,304393.875,4.117305278778076,0,14261423,True,BME690,32378,0,0,0,14261575,24484,0,32.698909759521484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:23.677,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.77,17.84,1175.0,1172.84,21470046.0,3700.0,3700.71,000000000DFEC3B1,300.0,299.44,000000000DFEC3B8,1600.0,1597.37,22450161.0,-0.01,225.0,224.72,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.3253173828125,595.146484375,5027.99755859375,5447.08984375,5437.46484375,5420.7880859375,7432.23193359375,6596.01513671875,206.5739288330078,179637984,3119.50048828125,23443.6640625,196.77931213378903,2355.888916015625,2531.671630859375,2729.754638671875,151.36712646484375,2749.287841796875,2276.81201171875,13124.6240234375,137017.484375,70897.796875,26992.9921875,21537.525390625,107.30223846435548,117.26769256591795,753.6655883789062,433.5304260253906,210.66259765625,1004.7977905273438,294.4615173339844,139.47430419921875,469.5853576660156,396.5299072265625,422.5478210449219,267.69842529296875,2518.093017578125,2176.894775390625,708.956298828125,808.6287231445312,344.3923645019531,24621.19921875,13926.78515625,7612.306640625,1898.2869873046875,174016704,1184.1396484375,457.6651611328125,65362.53125,65539.921875,59567.21484375,79501.375,325.94677734375,21118.7734375,355.9729919433594,294.3431701660156,21097.337890625,23068.626953125,20633.1796875,22663.568359375,9262.1728515625,8807.0087890625,8398.203125,7732.3134765625,10782,27.201465606689453,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.524145126342773,19.4426212310791,991.89892578125,305031.40625,4.1172308921813965,0,14261864,True,BME690,32379,0,0,0,14261575,24484,0,32.698909759521484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:23.977,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.78,17.85,1175.0,1172.95,21470046.0,3700.0,3701.14,000000000DFEC3B1,300.0,299.12,000000000DFEC3B8,1600.0,1597.84,22450161.0,-0.01,225.0,224.73,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.4909362792969,595.0590209960938,5028.720703125,5447.9873046875,5438.3564453125,5420.89404296875,7433.16845703125,6597.0380859375,206.51275634765625,179877104,3127.04443359375,23421.994140625,196.6670837402344,2368.951904296875,2525.111328125,2727.985595703125,151.41563415527344,2744.89404296875,2282.06640625,13108.328125,136973.4375,70875.2578125,26998.185546875,21540.396484375,107.3069839477539,117.26847839355467,753.6796264648438,432.90435791015625,210.6581573486328,1004.3355102539062,294.4085998535156,139.48361206054688,469.5608215332031,396.5614013671875,422.5621643066406,267.63092041015625,2518.348876953125,2177.49853515625,708.9509887695312,808.6187133789062,344.4031982421875,24628.607421875,13924.833984375,7612.6796875,1896.357666015625,174102672,1185.420654296875,457.1926879882813,65356.75,65544.828125,59571.9296875,79493.671875,326.0801696777344,21137.056640625,355.6979675292969,294.37060546875,21092.900390625,23068.25,20632.447265625,22662.896484375,9261.0048828125,8805.9716796875,8398.3564453125,7732.751953125,11083,27.28205108642578,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.524145126342773,19.4426212310791,991.8214111328124,306099.96875,4.1172308921813965,0,14262304,True,BME690,32380,0,0,0,14261575,24484,0,32.698909759521484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:24.279,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.78,17.87,1175.0,1173.31,21470046.0,3700.0,3701.41,000000000DFEC3B1,300.0,298.79,000000000DFEC3B8,1600.0,1597.98,22450161.0,-0.01,225.0,224.73,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.3941040039063,595.0322875976562,5029.03759765625,5447.6845703125,5437.517578125,5420.35205078125,7432.75390625,6596.25390625,206.53640747070312,179915312,3118.389892578125,23371.3046875,196.58493041992188,2359.222412109375,2528.52734375,2730.358154296875,151.445556640625,2744.1748046875,2279.176025390625,13192.47265625,136978.03125,70867.7109375,26998.638671875,21538.58984375,107.2860870361328,117.30851745605467,753.400634765625,433.28021240234375,210.6519775390625,1004.9995727539062,294.33990478515625,139.48818969726562,469.5900268554688,396.561767578125,422.5778503417969,267.6803894042969,2518.61572265625,2176.5908203125,708.931884765625,808.6121826171875,344.51025390625,24639.66796875,13919.265625,7612.17529296875,1899.576171875,174611328,1183.8525390625,457.7048034667969,65352.51171875,65547.1953125,59560.72265625,79476.4609375,325.23651123046875,21014.666015625,355.7342224121094,294.3211364746094,21092.4453125,23067.0703125,20632.462890625,22661.8359375,9260.59765625,8807.634765625,8397.765625,7732.89794921875,11385,27.36263656616211,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.524145126342773,19.4426212310791,991.7521362304688,304818.59375,4.1172308921813965,0,14262744,True,BME690,32381,0,0,0,14261575,24484,0,32.698909759521484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:24.580,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.78,17.88,1175.0,1173.67,21470046.0,3700.0,3701.67,000000000DFEC3B1,300.0,298.47,000000000DFEC3B8,1600.0,1598.11,22450161.0,-0.01,225.0,224.73,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,454.5958251953125,594.843017578125,5028.5888671875,5447.34765625,5438.4052734375,5420.8193359375,7431.09521484375,6596.5224609375,206.4299468994141,180175376,3112.9306640625,23427.927734375,196.7295837402344,2357.613525390625,2528.79736328125,2729.11279296875,151.36424255371094,2750.4951171875,2281.044677734375,13158.005859375,136963.46875,70870.7890625,26994.734375,21540.654296875,107.29129791259766,117.29340362548828,753.4237060546875,433.4087219238281,210.6486053466797,1005.1748657226562,294.2811584472656,139.49147033691406,469.5685729980469,396.57220458984375,422.5690612792969,267.626708984375,2519.41064453125,2177.235107421875,708.9567260742188,808.5928955078125,344.40399169921875,24536.23046875,13922.3671875,7612.4189453125,1895.678955078125,174565408,1186.093017578125,457.4997253417969,65361.30859375,65541.09375,59562.6875,79495.46875,325.1033935546875,20949.46484375,355.8515625,293.8409729003906,21093.72265625,23064.892578125,20631.15625,22661.9609375,9260.6484375,8805.9404296875,8397.8115234375,7732.67529296875,11685,27.120880126953125,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.524145126342773,19.4426212310791,991.7521362304688,304818.59375,4.1172308921813965,0,14262744,True,BME690,32381,0,0,0,14261575,24484,0,32.698909759521484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:24.881,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.77,17.89,1175.0,1174.0,21470046.0,3700.0,3701.74,000000000DFEC3B1,300.0,298.96,000000000DFEC3B8,1600.0,1598.25,22450161.0,-0.01,225.0,224.75,22160332.0
0000000045-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,e8b40e00-a4df-48ab-8dc6-590f8b925a5d,10c0f871-c230-4501-b91f-5028615cfa1c,453.57659912109375,594.9935913085938,5028.873046875,5447.412109375,5438.3056640625,5420.8994140625,7431.92041015625,6596.18212890625,206.3013916015625,180282304,3123.428466796875,23544.255859375,196.77532958984372,2359.635986328125,2523.94677734375,2732.716796875,151.39096069335938,2736.593505859375,2283.4560546875,13077.9873046875,136953.734375,70876.9296875,26991.5078125,21532.748046875,107.28472900390624,117.27413940429688,755.4765625,433.1966857910156,210.6260681152344,1003.6126708984376,294.3871765136719,139.47732543945312,469.629638671875,396.5400390625,422.5494384765625,267.6488952636719,2518.965576171875,2177.288818359375,708.93212890625,808.6500854492188,344.4697265625,24554.41796875,13924.1103515625,7612.0673828125,1900.329345703125,174537136,1185.747802734375,457.5349426269531,65359.9375,65540.5390625,59563.13671875,79497.8828125,325.7056579589844,20936.380859375,355.4637451171875,294.2655029296875,21092.04296875,23063.16796875,20632.205078125,22661.775390625,9261.1982421875,8806.8310546875,8398.380859375,7732.24658203125,11986,27.201465606689453,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.524477005004883,19.436664581298828,991.693603515625,305671.625,4.116047382354736,0,14263184,True,BME690,32382,0,0,0,14261575,24484,0,32.698909759521484,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-75ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35, 'TrialName': 'ASAU45', 'identifier': 'QnrjK', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-16 17:41:25.182,"{'cid': 'c998ced7-cc5d-4dfd-9418-80c4d05da49b', 'uuid': '2b3b6073-441b-44a2-b08c-b4cd59b60b3a', 'annotationId': 'e8b40e00-a4df-48ab-8dc6-590f8b925a5d', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773682881869, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-16T17:41:22.094Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.77,17.9,1175.0,1174.29,21470046.0,3700.0,3701.35,000000000DFEC3B1,300.0,301.52,000000000DFEC3B8,1600.0,1598.38,22450161.0,-0.02,225.0,224.81,22160332.0
