component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,FLW0_181225
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.8186798095703,1014.8248291015624,5.635577201843262,5971.82568359375,6399.73095703125,4505.22998046875,7786.94091796875,6947.74462890625,960.712646484375,16614.21484375,706.6747436523438,670.3175659179688,565.0027465820312,678.4681396484375,569.5453491210938,811.5240478515625,330.2863464355469,3045.304931640625,1428.424072265625,466.9788818359375,63825.9765625,46282.8203125,15319.7529296875,14360.2958984375,474.0895080566406,146.4527130126953,384.1199340820313,294.5800476074219,117.7893295288086,140.89248657226562,138.44996643066406,170.06175231933594,340.8890686035156,300.2088928222656,315.03302001953125,279.1167297363281,1489.6116943359375,1144.8023681640625,440.4846801757813,543.9575805664062,362.388916015625,744.420654296875,14339.2265625,14723.7177734375,435.6662902832031,1128.701171875,453.7425842285156,194.0912170410156,50652.09375,49702.3203125,52558.2421875,56220.5078125,225.70481872558597,546.113525390625,400.4613037109375,267.7585144042969,18605.537109375,17241.640625,14561.0751953125,16458.646484375,8028.86083984375,8462.576171875,8573.306640625,7578.81005859375,9846,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.489303588867188,19.88830947875977,1010.7890625,203527.953125,4.203273296356201,0,13823405,True,BME690,31393,0,0,0,13820357,24484,0,23.99914932250977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:52.949,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,15.98,3700.0,3694.04,000000000DFEC3B1,1600.0,1600.64,22450161.0,300.0,300.49,000000000DFEC3B8,60.0,60.38,22160332.0,1340.0,1339.12,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.84153747558597,1014.0781860351562,5.630489349365234,5971.904296875,6400.37353515625,4505.478515625,7787.18359375,6948.27392578125,961.3793334960938,16636.732421875,706.2852172851562,670.6961059570312,564.0529174804688,679.0442504882812,569.1712036132812,813.0767822265625,330.3506164550781,3042.229736328125,1424.49755859375,466.89300537109375,63827.89453125,46284.12109375,15319.9873046875,14360.5615234375,474.0875244140625,146.46583557128906,384.115478515625,294.3150329589844,117.80755615234376,140.86988830566406,138.43551635742188,170.03948974609375,340.8333740234375,300.21942138671875,314.9549255371094,279.1474609375,1489.5655517578125,1144.82958984375,440.4899597167969,543.9822998046875,362.45257568359375,745.66796875,14336.720703125,14725.2841796875,435.7821960449219,1133.056640625,453.7838439941406,194.1118011474609,50647.62890625,49705.703125,52559.828125,56221.15234375,225.6398162841797,546.2116088867188,399.9849548339844,267.88299560546875,18603.53515625,17242.607421875,14561.0498046875,16459.45703125,8028.818359375,8461.349609375,8573.12109375,7578.9287109375,10147,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.489303588867188,19.88830947875977,1010.7890625,203527.953125,4.203273296356201,0,13823405,True,BME690,31393,0,0,0,13820357,24484,0,23.99914932250977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:53.250,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,15.98,3700.0,3694.04,000000000DFEC3B1,1600.0,1600.64,22450161.0,300.0,300.49,000000000DFEC3B8,60.0,60.38,22160332.0,1340.0,1339.12,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.8311004638672,1014.363037109375,5.640584945678711,5972.67626953125,6400.62451171875,4505.57373046875,7787.16015625,6948.5537109375,960.861083984375,16748.810546875,706.2733154296875,670.4151611328125,564.0720825195312,677.7606201171875,569.3536376953125,812.5257568359375,330.4667663574219,3045.325927734375,1426.427978515625,467.3837585449219,63831.56640625,46282.0078125,15319.296875,14360.822265625,473.9825744628906,146.4481964111328,384.3716125488281,294.2322692871094,117.82889556884766,140.8737030029297,138.43479919433594,170.05059814453125,340.8023376464844,300.1688537597656,314.9650573730469,279.19891357421875,1489.4197998046875,1144.8316650390625,440.4288635253906,544.0409545898438,362.3846130371094,745.77392578125,14343.5966796875,14726.5498046875,436.4035339355469,1133.307373046875,453.9518432617188,194.07080078125,50646.2578125,49700.87109375,52556.72265625,56222.1953125,225.6322479248047,545.9720458984375,400.0356140136719,267.7911071777344,18607.587890625,17243.48828125,14561.12890625,16458.185546875,8028.61767578125,8461.12890625,8573.0751953125,7579.1064453125,10448,27.36263656616211,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.488969802856445,19.894420623779297,1010.7882690429688,203338.5,4.204484939575195,0,13823845,True,BME690,31394,0,0,0,13820357,24484,0,23.99914932250977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:53.552,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,16.0,3700.0,3694.19,000000000DFEC3B1,1600.0,1600.27,22450161.0,300.0,301.35,000000000DFEC3B8,60.0,60.3,22160332.0,1340.0,1339.12,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.8270721435547,1015.576416015625,5.649442195892334,5972.92724609375,6400.56787109375,4505.58203125,7786.99169921875,6947.8505859375,961.3287963867188,16685.890625,705.9682006835938,671.1021118164062,564.8026123046875,678.7630615234375,568.56982421875,813.4407348632812,330.1335754394531,3050.725830078125,1426.9256591796875,467.2468566894531,63826.6875,46279.7890625,15319.970703125,14360.77734375,473.7624816894531,146.45326232910156,384.1597900390625,294.1083068847656,117.79776763916016,140.89353942871094,138.45779418945312,170.0880889892578,340.8534545898437,300.1874389648437,314.9899597167969,279.13446044921875,1489.57421875,1144.8795166015625,440.5010986328125,544.0225219726562,362.5348815917969,745.30712890625,14341.310546875,14729.6416015625,436.0100708007813,1130.7286376953125,454.5386962890625,194.05322265625,50644.390625,49697.5625,52557.77734375,56221.8203125,225.68881225585935,546.1947631835938,400.1200256347656,267.8705139160156,18607.224609375,17244.287109375,14561.4765625,16459.107421875,8028.49169921875,8462.1533203125,8573.4326171875,7578.724609375,10749,27.5238094329834,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.488969802856445,19.900514602661133,1010.7882690429688,202772.28125,4.205772876739502,0,13824285,True,BME690,31395,0,0,0,13820357,24484,0,23.99914932250977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:53.853,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,16.01,3700.0,3694.48,000000000DFEC3B1,1600.0,1599.53,22450161.0,300.0,303.1,000000000DFEC3B8,60.0,60.12,22160332.0,1340.0,1339.12,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.8683319091797,1014.5723876953124,5.624183177947998,5973.1328125,6401.10498046875,4506.47998046875,7787.27783203125,6948.4775390625,961.4200439453124,16588.375,706.551025390625,671.05615234375,564.6319580078125,677.9784545898438,568.9898071289062,812.2327270507812,330.2623596191406,3042.144287109375,1425.8367919921875,467.2390747070313,63827.37890625,46280.73828125,15320.306640625,14361.6220703125,473.6602783203125,146.44802856445312,384.1630859375,294.4761962890625,117.82936096191406,140.88536071777344,138.46250915527344,170.09619140625,340.8260192871094,300.1593322753906,314.9725036621094,279.15399169921875,1489.5245361328125,1144.9012451171875,440.4501647949219,543.9637451171875,362.3744201660156,743.926513671875,14338.46484375,14727.6611328125,435.6838684082031,1132.1119384765625,453.7767028808594,194.00164794921875,50645.3515625,49700.51171875,52558.11328125,56220.07421875,225.6665802001953,546.386474609375,400.0086669921875,267.9577941894531,18606.375,17241.61328125,14562.158203125,16460.19140625,8028.81640625,8461.6025390625,8573.525390625,7578.8564453125,11050,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.488969802856445,19.900514602661133,1010.7882690429688,202772.28125,4.205772876739502,0,13824285,True,BME690,31395,0,0,0,13820357,24484,0,23.99914932250977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:54.153,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,16.03,3700.0,3694.77,000000000DFEC3B1,1600.0,1598.79,22450161.0,300.0,304.84,000000000DFEC3B8,60.0,59.95,22160332.0,1340.0,1339.12,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.87962341308597,1016.8082275390624,5.646839141845703,5972.89306640625,6400.07861328125,4505.5302734375,7786.67041015625,6948.6435546875,962.80126953125,16641.439453125,706.2374877929688,670.4174194335938,564.686767578125,678.7568969726562,568.54931640625,813.3164672851562,330.0059814453125,3048.697998046875,1425.2589111328125,467.1564636230469,63825.8828125,46281.125,15318.08984375,14361.8427734375,472.8248291015625,146.51397705078125,384.25531005859375,294.4867553710937,117.8175277709961,140.86892700195312,138.4397735595703,170.05416870117188,340.864013671875,300.2112121582031,314.957275390625,279.1534423828125,1489.5294189453125,1144.8818359375,440.45306396484375,544.0216674804688,362.3670043945313,746.0176391601562,14334.41015625,14729.373046875,435.966796875,1131.0443115234375,454.189453125,193.9276580810547,50646.40625,49698.41796875,52559.33984375,56219.21484375,225.7548675537109,546.578125,399.9827575683594,267.742919921875,18607.861328125,17242.888671875,14561.97265625,16457.623046875,8028.7451171875,8461.7080078125,8573.0244140625,7579.36474609375,11351,27.36263656616211,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.489303588867188,19.90049743652344,1010.7907104492188,203338.5,4.205849170684815,0,13824726,True,BME690,31396,0,0,0,13820357,24484,0,23.99914932250977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:54.457,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.7,16.04,3700.0,3695.28,000000000DFEC3B1,1600.0,1598.17,22450161.0,300.0,306.01,000000000DFEC3B8,60.0,59.8,22160332.0,1340.0,1339.17,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.8527984619141,1016.7673950195312,5.636816024780273,5971.96630859375,6400.46044921875,4504.3720703125,7787.06298828125,6948.44580078125,960.9296264648438,16647.271484375,706.3746337890625,672.237060546875,564.5923461914062,677.7738037109375,568.9349975585938,812.5945434570312,330.2335510253906,3026.02734375,1421.955078125,467.1300659179688,63829.20703125,46280.00390625,15318.91015625,14361.31640625,473.95892333984375,146.46607971191406,384.1332092285156,294.348876953125,117.81324005126952,140.9027557373047,138.44570922851562,170.07504272460938,340.8248291015625,300.1902770996094,314.9788513183594,279.1177978515625,1489.4984130859375,1144.806640625,440.48443603515625,544.0177612304688,362.4169006347656,744.9619750976562,14340.5556640625,14724.28515625,435.52630615234375,1134.1080322265625,453.8815002441406,194.01287841796875,50645.078125,49692.99609375,52558.40234375,56220.8046875,225.69891357421875,546.392333984375,400.822509765625,268.0360107421875,18607.29296875,17243.595703125,14562.04296875,16457.8125,8028.67822265625,8462.2294921875,8572.85546875,7578.90380859375,11652,27.28205108642578,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.489303588867188,19.90049743652344,1010.7775268554688,203149.421875,4.205849170684815,0,13825166,True,BME690,31397,0,0,0,13820357,24484,0,23.99914932250977,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:54.756,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,16.05,3700.0,3696.78,000000000DFEC3B1,1600.0,1598.27,22450161.0,300.0,303.69,000000000DFEC3B8,60.0,59.81,22160332.0,1340.0,1339.48,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.83702087402344,1016.77783203125,5.612919330596924,5972.01806640625,6400.5302734375,4504.6455078125,7786.89404296875,6948.2314453125,961.2095336914062,16749.84765625,706.1459350585938,670.6422119140625,564.8677978515625,677.8223876953125,569.3995971679688,812.05126953125,329.9443359375,3042.537841796875,1423.9237060546875,467.0455932617188,63829.96875,46280.89453125,15319.59765625,14361.1953125,474.2835693359375,146.44638061523438,384.4127197265625,294.4611511230469,117.84156036376952,140.87557983398438,138.4238739013672,170.0751495361328,340.8327941894531,300.1490173339844,314.9839782714844,279.1689147949219,1489.544921875,1144.8817138671875,440.50726318359375,543.9961547851562,362.39404296875,744.6393432617188,14339.0087890625,14728.3525390625,435.651611328125,1134.100830078125,453.70697021484375,194.0239715576172,50640.65625,49695.64453125,52559.16796875,56222.9765625,225.707275390625,546.3497924804688,400.1703186035156,267.9295654296875,18600.05078125,17242.82421875,14562.1787109375,16459.703125,8028.78759765625,8462.44140625,8573.1181640625,7578.8056640625,11953,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.489303588867188,19.90049743652344,1010.7775268554688,203149.421875,4.205849170684815,0,13825166,True,BME690,31397,0,0,0,13825360,24484,0,24.98086166381836,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:55.057,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,16.06,3700.0,3698.3,000000000DFEC3B1,1600.0,1598.36,22450161.0,300.0,301.36,000000000DFEC3B8,60.0,59.82,22160332.0,1340.0,1339.79,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.8510284423828,1019.2978515625,5.649463176727295,5972.11767578125,6400.45361328125,4504.73388671875,7786.83837890625,6947.99267578125,961.8314208984376,16653.77734375,706.0348510742188,671.24755859375,564.8504638671875,678.7258911132812,569.2908935546875,813.9479370117188,330.07818603515625,3046.898193359375,1426.654296875,466.9502868652344,63816.87109375,46280.15625,15319.66015625,14361.0576171875,473.6448059082031,146.44906616210938,383.8501892089844,294.4285888671875,117.84191131591795,140.8721923828125,138.44113159179688,170.08367919921875,340.8528137207031,300.1818542480469,315.03387451171875,279.1584167480469,1489.4813232421875,1144.8865966796875,440.5209655761719,544.049560546875,362.3741149902344,745.9138793945312,14339.822265625,14730.509765625,435.5398864746094,1133.584716796875,453.612060546875,193.9649200439453,50641.28515625,49698.41796875,52555.26171875,56224.578125,225.6968231201172,546.1826782226562,399.9975280761719,267.7618408203125,18603.251953125,17243.291015625,14563.5302734375,16459.55859375,8028.82568359375,8462.28515625,8573.0244140625,7578.93212890625,12254,27.44322204589844,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.489303588867188,19.90049743652344,1010.7147827148438,203907.90625,4.205849170684815,0,13825607,True,BME690,31398,0,0,0,13825360,24484,0,24.98086166381836,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:55.359,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,16.08,3700.0,3699.82,000000000DFEC3B1,1600.0,1598.46,22450161.0,300.0,299.02,000000000DFEC3B8,60.0,59.83,22160332.0,1340.0,1340.1,21470046.0,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,AmbientSamplingRFC,0e630775-b140-438b-856e-48f88c621cfc,abf3d6e6-cbae-42a9-8225-203c3276d984,193.85513305664065,1019.46826171875,5.668286323547363,5971.896484375,6400.0537109375,4504.94580078125,7786.99853515625,6948.1708984375,963.2684936523438,16810.94921875,706.3701782226562,671.2135009765625,564.6640625,679.7591552734375,569.1494140625,813.3944702148438,330.0517883300781,3056.814697265625,1430.4298095703125,467.1959533691406,63803.76171875,46280.58984375,15318.6484375,14360.720703125,473.6816101074219,146.42526245117188,384.037109375,294.2965087890625,117.81159210205078,140.8780059814453,138.43362426757812,170.06761169433594,340.8558044433594,300.1789855957031,314.9604187011719,279.1809997558594,1489.3818359375,1144.8331298828125,440.4870300292969,544.0132446289062,362.4493713378906,744.9131469726562,14335.705078125,14727.365234375,434.9848327636719,1132.884521484375,453.5875549316406,194.00881958007807,50645.03515625,49698.625,52551.0859375,56226.3359375,225.7086334228516,546.3334350585938,400.3399658203125,267.974365234375,18602.818359375,17243.7421875,14562.576171875,16458.705078125,8028.78369140625,8462.5546875,8573.3271484375,7578.96484375,12555,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.489303588867188,19.90049743652344,1010.6619262695312,202960.65625,4.205849170684815,0,13826047,True,BME690,31399,0,0,0,13825360,24484,0,24.98086166381836,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-20ppb-3AH-75ccm-Maxwell-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 30, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 16:22:55.659,"{'cid': '71933980-b6d5-4f7d-96e3-d1c09948ca73', 'uuid': '56bf0762-dbbd-435b-a7db-d75d5cd92ebc', 'annotationId': '0e630775-b140-438b-856e-48f88c621cfc', 'name': 'AmbientSamplingRFC', 'description': 'AmbientSamplingRFC', 'labels': 'AmbientSamplingRFC', 'metadata': {'Length': 30, 'Progress': 0, 'startTime': 1773418972517, 'Notification': 'Event AmbientSamplingRFC Started.'}, 'createdAt': '2026-03-13T16:22:52.792Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.71,16.09,3700.0,3700.29,000000000DFEC3B1,1600.0,1598.56,22450161.0,300.0,297.8,000000000DFEC3B8,60.0,59.85,22160332.0,1340.0,1339.89,21470046.0,-0.01
