component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_184324,FLW0_184324,ANLT0_184324,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.2728576660156,1033.8043212890625,5.664566993713379,6001.85888671875,6438.271484375,4531.60302734375,7857.693359375,7013.34228515625,991.0670776367188,17200.0390625,717.140380859375,676.0150756835938,570.0272216796875,685.034423828125,578.6835327148438,833.2020874023438,341.7049255371094,3140.286865234375,1462.459716796875,483.298828125,64172.86328125,46513.19140625,15370.3271484375,14405.8076171875,486.1666564941406,148.84027099609375,389.2210083007813,297.43603515625,117.64318084716795,141.40966796875,139.3489532470703,171.70433044433594,342.4923095703125,301.6918640136719,315.57745361328125,279.9298095703125,1496.39306640625,1149.87646484375,441.2473449707031,545.2854614257812,374.0560607910156,764.9488525390625,14393.40234375,14839.001953125,446.1934814453125,1158.735107421875,462.9081115722656,198.32298278808597,50888.1640625,49946.515625,52805.125,56502.22265625,230.87872314453125,562.0755004882812,411.8537902832031,275.99688720703125,18663.990234375,17299.1171875,14608.0302734375,16505.849609375,8084.21337890625,8523.1240234375,8636.958984375,7644.25439453125,9164,27.36263656616211,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.15245819091797,21.34210586547852,1011.48486328125,196568.6875,4.424807071685791,0,8512977,True,BME690,19334,0,0,0,8509475,24484,0,24.99641227722168,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:22.067,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.64,22450161.0,0.0,0.05,22160332.0,0.0,0.8,21470046.0,22.72,16.28,3700.0,3696.29,000000000DFEC3B1,300.0,300.88,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.30137634277344,1034.19970703125,5.644423007965088,6001.58935546875,6438.66455078125,4531.18212890625,7857.2666015625,7012.88232421875,988.6475830078124,17189.775390625,716.7656860351562,676.7245483398438,570.1724243164062,685.8102416992188,579.466796875,832.8663330078125,341.3207092285156,3135.938720703125,1462.565185546875,482.990966796875,64166.15234375,46514.7734375,15369.1982421875,14406.0234375,486.0069885253906,148.88424682617188,389.3011169433594,297.364990234375,117.71343994140624,141.41664123535156,139.39181518554688,171.7051544189453,342.4845275878906,301.665283203125,315.5628967285156,279.9004211425781,1496.3875732421875,1149.82958984375,441.2250671386719,545.3143920898438,373.9974670410156,763.4474487304688,14391.2158203125,14824.771484375,446.2077331542969,1159.40087890625,462.69476318359375,198.3646545410156,50885.45703125,49944.90625,52804.03515625,56506.44140625,230.91200256347656,562.1976318359375,411.6099548339844,275.7483825683594,18661.66015625,17297.796875,14608.29296875,16506.5625,8084.0732421875,8522.1220703125,8637.2353515625,7644.6064453125,9465,27.5238094329834,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.15312385559082,21.34207344055176,1011.4863891601562,197457.0625,4.4249677658081055,0,8513417,True,BME690,19335,0,0,0,8509475,24484,0,24.99641227722168,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:22.363,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.64,22450161.0,0.0,0.05,22160332.0,0.0,0.8,21470046.0,22.72,16.28,3700.0,3696.29,000000000DFEC3B1,300.0,300.88,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.271240234375,1034.1331787109375,5.638034343719482,6001.52783203125,6438.6240234375,4531.72216796875,7857.76513671875,7012.75341796875,990.780517578125,17322.48828125,717.0963134765625,676.6837768554688,569.8779296875,686.408447265625,579.4671630859375,832.1438598632812,341.69580078125,3141.902587890625,1464.9239501953125,483.1734313964844,64174.8828125,46515.0703125,15370.1591796875,14405.22265625,486.34222412109375,148.8458251953125,389.110107421875,297.5096130371094,117.6560516357422,141.4416961669922,139.34471130371094,171.71119689941406,342.45733642578125,301.7100830078125,315.6531677246094,279.90496826171875,1496.32470703125,1149.842529296875,441.2576293945313,545.2802734375,373.92572021484375,762.4385375976562,14393.5302734375,14835.8154296875,446.1953430175781,1159.869384765625,462.8813171386719,198.39593505859372,50886.02734375,49944.96875,52803.73046875,56509.625,230.8555145263672,561.76611328125,411.4959716796875,275.89581298828125,18665.95703125,17298.939453125,14607.642578125,16507.408203125,8083.98779296875,8521.9921875,8636.208984375,7644.3076171875,9766,27.5238094329834,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.15345573425293,21.354230880737305,1011.4871826171876,196568.6875,4.427573204040527,0,8513858,True,BME690,19336,0,0,0,8509475,24484,0,24.99641227722168,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:22.669,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.64,22450161.0,0.0,0.05,22160332.0,0.0,0.79,21470046.0,22.72,16.28,3700.0,3696.48,000000000DFEC3B1,300.0,300.84,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.28103637695312,1034.939453125,5.673334121704102,6002.3115234375,6438.826171875,4531.162109375,7857.51806640625,7013.02880859375,990.690673828125,17267.42578125,717.1715698242188,676.3969116210938,570.0154418945312,685.375244140625,579.7071533203125,834.6983642578125,341.467529296875,3140.073486328125,1465.969970703125,483.15625,64183.4609375,46514.62890625,15369.7216796875,14405.03125,486.934326171875,148.8067169189453,389.3925476074219,297.4952087402344,117.64561462402344,141.4231414794922,139.3621826171875,171.70289611816406,342.4839172363281,301.6885070800781,315.63671875,279.9132385253906,1496.4033203125,1149.7923583984375,441.2512512207031,545.2820434570312,373.8946838378906,763.5148315429688,14389.0712890625,14824.91015625,446.7298583984375,1158.98388671875,463.0182189941406,198.2823944091797,50882.63671875,49944.16796875,52809.546875,56509.13671875,230.9644012451172,561.93359375,411.6073303222656,275.9822692871094,18661.900390625,17297.4296875,14607.4345703125,16506.73828125,8084.802734375,8522.9619140625,8636.9248046875,7644.49951171875,10067,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.15345573425293,21.354230880737305,1011.4871826171876,196568.6875,4.427573204040527,0,8513858,True,BME690,19336,0,0,0,8509475,24484,0,24.99641227722168,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:22.966,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.67,22450161.0,0.0,0.05,22160332.0,0.0,0.73,21470046.0,22.72,16.29,3700.0,3697.6,000000000DFEC3B1,300.0,300.61,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.27020263671875,1031.9993896484375,5.643019199371338,6001.81103515625,6438.58056640625,4531.126953125,7856.90380859375,7013.93603515625,991.60107421875,17342.91015625,717.0337524414062,676.3857421875,570.0325927734375,686.2841796875,580.1634521484375,834.2560424804688,341.5288391113281,3145.513427734375,1464.72705078125,483.2765502929688,64184.48828125,46515.5859375,15369.4267578125,14406.396484375,486.1500854492188,148.7899932861328,389.4027099609375,297.4959716796875,117.71733856201172,141.44943237304688,139.36483764648438,171.69741821289062,342.49517822265625,301.6632995605469,315.5762634277344,279.9273986816406,1496.2841796875,1149.8521728515625,441.2378234863281,545.2828979492188,373.9139404296875,763.4462890625,14390.478515625,14825.9619140625,445.9664916992188,1159.4248046875,462.6642761230469,198.29840087890625,50886.40625,49946.0078125,52806.2421875,56513.16015625,230.89993286132807,561.7039184570312,411.72760009765625,276.1664733886719,18661.11328125,17297.447265625,14607.6630859375,16507.26171875,8084.58544921875,8523.1103515625,8637.2666015625,7643.90869140625,10368,27.604394912719727,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.15412139892578,21.348114013671875,1011.4871215820312,196215.5625,4.4264726638793945,0,8514298,True,BME690,19337,0,0,0,8514477,24484,0,24.217384338378903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:23.268,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.69,22450161.0,0.0,0.05,22160332.0,0.0,0.67,21470046.0,22.73,16.31,3700.0,3698.74,000000000DFEC3B1,300.0,300.38,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.2618865966797,1033.834716796875,5.617856025695801,6002.15673828125,6438.712890625,4531.576171875,7857.9658203125,7013.83154296875,989.326416015625,17271.1484375,717.2083740234375,676.4299926757812,569.9114990234375,687.41015625,579.8638916015625,833.7996826171875,341.2252197265625,3134.934326171875,1466.1947021484375,483.0377502441406,64189.21484375,46513.66015625,15369.6796875,14406.080078125,486.1546020507813,148.8159942626953,389.3027038574219,297.5999450683594,117.67093658447266,141.4106903076172,139.3316192626953,171.7103271484375,342.4782409667969,301.7094116210937,315.627197265625,279.8799743652344,1496.4134521484375,1149.8768310546875,441.2774658203125,545.2489013671875,374.0436096191406,764.420654296875,14393.38671875,14826.1884765625,446.7482604980469,1162.952392578125,462.8348388671875,198.356689453125,50891.09375,49945.9609375,52805.8515625,56512.05859375,230.90513610839844,562.4655151367188,411.68853759765625,276.1994934082031,18658.26953125,17300.37890625,14608.0771484375,16507.822265625,8084.916015625,8522.4716796875,8637.33984375,7644.37548828125,10670,27.44322204589844,29.13553237915039,0,0,0,0,0,0,0,0,0,0,0,1,23.15412139892578,21.35420036315918,1011.4871215820312,196215.5625,4.427734851837158,0,8514739,True,BME690,19338,0,0,0,8514477,24484,0,24.217384338378903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:23.571,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.72,22450161.0,0.0,0.05,22160332.0,0.0,0.61,21470046.0,22.73,16.32,3700.0,3699.89,000000000DFEC3B1,300.0,300.14,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.27053833007807,1032.7535400390625,5.651930809020996,6002.3212890625,6438.78662109375,4531.4990234375,7857.82763671875,7013.00927734375,990.6586303710938,17279.73046875,717.118896484375,675.9533081054688,569.9774780273438,686.3422241210938,579.9921875,833.1240844726562,341.2963562011719,3140.462158203125,1464.533447265625,482.3446044921875,64184.71484375,46513.5390625,15368.8046875,14404.9951171875,486.9246826171875,148.82138061523438,389.2790222167969,297.4560241699219,117.66702270507812,141.44325256347656,139.3859405517578,171.6964569091797,342.4954833984375,301.6923217773437,315.6156005859375,279.9135131835937,1496.4188232421875,1149.8531494140625,441.2536010742188,545.2757568359375,374.0242004394531,763.9082641601562,14388.6337890625,14824.837890625,446.9641418457031,1162.350830078125,462.7325439453125,198.22430419921875,50889.8671875,49945.66796875,52809.61328125,56515.12890625,230.91571044921875,562.394775390625,411.65380859375,276.0443115234375,18658.3515625,17298.85546875,14607.345703125,16506.978515625,8084.86083984375,8522.4189453125,8636.5615234375,7644.05419921875,10970,27.44322204589844,29.21611785888672,0,0,0,0,0,0,0,0,0,0,0,1,23.15412139892578,21.35420036315918,1011.4871215820312,196215.5625,4.427734851837158,0,8514739,True,BME690,19338,0,0,0,8514477,24484,0,24.217384338378903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:23.870,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.68,22450161.0,0.0,0.06,22160332.0,0.0,0.55,21470046.0,22.73,16.33,3700.0,3700.59,000000000DFEC3B1,300.0,299.47,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.2458953857422,1033.347412109375,5.636778831481934,6002.48046875,6438.615234375,4531.56982421875,7857.05029296875,7013.02392578125,992.159912109375,17196.732421875,716.8812866210938,676.4654541015625,570.3636474609375,687.171142578125,579.9698486328125,831.18310546875,341.2134094238281,3144.509765625,1467.7657470703125,482.7656555175781,64177.47265625,46516.4140625,15369.73828125,14405.826171875,486.9287414550781,148.85488891601562,389.54046630859375,297.5066833496094,117.69647979736328,141.4156036376953,139.36178588867188,171.6883087158203,342.5062866210937,301.6861267089844,315.6155090332031,279.93914794921875,1496.3031005859375,1149.798095703125,441.2693481445313,545.2493896484375,373.6510925292969,764.7797241210938,14390.896484375,14830.3994140625,446.7054138183594,1162.130859375,462.7586975097656,198.2184295654297,50884.78515625,49943.5859375,52804.87109375,56512.8515625,230.9285430908203,562.6347045898438,411.48529052734375,275.8498229980469,18658.099609375,17299.943359375,14608.3935546875,16506.919921875,8085.28369140625,8523.064453125,8637.3125,7644.39306640625,11271,27.44322204589844,29.0549430847168,0,0,0,0,0,0,0,0,0,0,0,1,23.15412139892578,21.35420036315918,1011.4871215820312,197457.0625,4.427734851837158,0,8515179,True,BME690,19339,0,0,0,8514477,24484,0,24.217384338378903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:24.171,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.63,22450161.0,0.0,0.07,22160332.0,0.0,0.49,21470046.0,22.72,16.35,3700.0,3701.2,000000000DFEC3B1,300.0,298.68,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.2857208251953,1033.95361328125,5.615403175354004,6002.08837890625,6438.7470703125,4531.279296875,7857.78955078125,7012.52978515625,990.8410034179688,17255.392578125,717.57177734375,676.4323120117188,570.3113403320312,687.5078125,580.149658203125,831.9387817382812,341.5328674316406,3146.652099609375,1464.0888671875,482.8767395019531,64182.13671875,46516.453125,15368.2890625,14406.080078125,486.6049499511719,148.83657836914062,389.5929565429688,297.54248046875,117.67890167236328,141.42764282226562,139.3791046142578,171.6904754638672,342.5370178222656,301.673828125,315.5941162109375,279.9110717773437,1496.36865234375,1149.8695068359375,441.2391662597656,545.2381591796875,373.8351135253906,764.35595703125,14392.26171875,14830.134765625,446.4083557128906,1161.5888671875,463.23291015625,198.3797912597656,50884.859375,49939.3046875,52804.7734375,56511.43359375,230.9046630859375,562.317138671875,412.3888854980469,275.9801330566406,18654.333984375,17298.857421875,14608.14453125,16504.849609375,8084.81591796875,8521.4013671875,8636.5458984375,7644.12353515625,11573,27.44322204589844,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.154787063598636,21.366342544555664,1011.48876953125,196391.953125,4.430419921875,0,8515620,True,BME690,19340,0,0,0,8514477,24484,0,24.217384338378903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:24.473,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.58,22450161.0,0.0,0.08,22160332.0,0.0,0.43,21470046.0,22.72,16.36,3700.0,3701.82,000000000DFEC3B1,300.0,297.89,000000000DFEC3B8,-0.01
0000000054-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,7b32591a-b568-424c-8088-809e15a142e7,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,200.32546997070312,1030.742431640625,5.640604496002197,6002.0517578125,6438.57080078125,4531.74365234375,7858.15283203125,7013.27197265625,987.8428344726562,17146.20703125,717.2817993164062,676.5536499023438,570.4503173828125,686.6970825195312,579.3656616210938,831.5426635742188,341.4835510253906,3140.922119140625,1464.658935546875,483.2331237792969,64182.05078125,46517.80078125,15369.7431640625,14406.89453125,486.5094299316406,148.82177734375,389.3634643554688,297.63067626953125,117.67649841308594,141.4454803466797,139.38525390625,171.73983764648438,342.4740295410156,301.6697692871094,315.57781982421875,279.9013977050781,1496.314453125,1149.9302978515625,441.2564392089844,545.3275756835938,373.9385070800781,765.5556030273438,14394.146484375,14833.7177734375,446.8947143554688,1165.465087890625,463.0379638671875,198.2510528564453,50887.8828125,49937.4609375,52809.828125,56512.3515625,230.9389190673828,562.3485717773438,412.0855712890625,276.06451416015625,18660.080078125,17300.587890625,14608.001953125,16506.16015625,8084.81640625,8522.70703125,8636.544921875,7644.5185546875,11873,27.28205108642578,28.97435760498047,0,0,0,0,0,0,0,0,0,0,0,1,23.154787063598636,21.366342544555664,1011.48876953125,196391.953125,4.430419921875,0,8515620,True,BME690,19340,0,0,0,8514477,24484,0,24.217384338378903,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 7.5, 'TrialName': 'ASAU540926', 'identifier': 'JH9GX', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-13 14:54:24.774,"{'cid': '74ecc66e-7b7d-4d71-9dd7-6a01383b0b82', 'uuid': '067efd14-4fd5-46c8-8295-3a9ea1c30572', 'annotationId': '7b32591a-b568-424c-8088-809e15a142e7', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773413661690, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-13T14:54:21.895Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",0.0,0.58,22450161.0,0.0,0.08,22160332.0,0.0,0.42,21470046.0,22.72,16.38,3700.0,3702.05,000000000DFEC3B1,300.0,298.33,000000000DFEC3B8,-0.01
