component_sn,product_sn,event_name,annotation_id,configuration_id,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,ASELT,BT1,BT2,DPP0,DPT0,DPSN,DPPID,PZTGTF,PZFLOW0,PZEF0,PZVMV,PZBV0,PZEN,PZDM,PZCAL,AQT0,AQH0,AQP0,AQGR0,AQAH0,AQBSTAT,AQBTS,AQBVAL,AQSENS,AQSID,TRHT0,TRHH0,TRHSN,SYSUT,SYSHF,SYSHA,SYSCL,SYSRC,reference_ui,reference_type,reference_details,metadata,payloadCreateAt,event,T0_093225,H0_093225,SETP0_454625,FLW0_454625,ANLT0_454625,SETP0_184225,FLW0_184225,ANLT0_184225,SETP0_813024,FLW0_813024,ANLT0_813024,SETP0_364625,FLW0_364625,ANLT0_364625,FLW0_181225,SETP0_184324,FLW0_184324,ANLT0_184324
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3854.20166015625,4414.60888671875,17200.759765625,33420.11328125,6437.00537109375,6304.12158203125,11027.37109375,9524.16796875,755.624755859375,1090.0364990234375,8963.5703125,5669.56689453125,8194.0126953125,13853.6767578125,2904.6181640625,5229.779296875,5937.5205078125,804.7052612304688,8577.8212890625,7173.0908203125,275544.8125,114103.8203125,30256.255859375,22961.767578125,877.358642578125,692.7072143554688,326.20050048828125,568.1310424804688,5265.63427734375,5510.42236328125,319.9801330566406,3501.330322265625,511.3980407714844,502.7024841308594,488.1002502441406,377.1550903320313,2607.8984375,1777.9884033203125,605.0662841796875,904.7332153320312,4060.293212890625,2380.9765625,19406.837890625,9363.439453125,472.89794921875,2291.077880859375,376.5779724121094,1910.9686279296875,135523.734375,152028.34375,115375.375,208379.96875,814.9124755859375,925.6798706054688,769.5488891601562,455.7263793945313,31024.41796875,38209.76953125,31899.443359375,28739.9765625,13644.5078125,10942.865234375,10726.802734375,11968.29296875,8469,27.765565872192383,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.992950439453125,20.51749610900879,1004.8933715820312,229146.859375,4.462021827697754,0,9609882,True,BME690,21820,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:51.515,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,16.34,3700.0,3701.17,000000000DFEC3B1,0.0,0.06,22160332.0,0.0,0.56,22450161.0,300.0,293.16,000000000DFEC3B8,0.0,0.0,0.0,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3842.951171875,4416.341796875,17205.46875,33456.203125,6436.93798828125,6303.69189453125,11026.408203125,9524.81640625,755.5389404296875,1088.32177734375,9029.3427734375,5672.89697265625,8166.04443359375,13823.8037109375,2898.961669921875,5237.4833984375,5963.23095703125,803.9178466796875,8591.2294921875,7208.81982421875,275485.40625,114100.953125,30264.603515625,22958.296875,877.4383544921875,692.8079833984375,326.3275451660156,567.7297973632812,5256.04443359375,5491.2822265625,320.0442199707031,3492.0390625,511.3797607421875,502.7386779785156,488.2012939453125,377.1268615722656,2607.42431640625,1778.186767578125,605.0344848632812,904.645751953125,4055.04638671875,2381.22216796875,19416.822265625,9362.798828125,472.9271240234375,2292.490234375,376.59716796875,1909.1114501953125,135536.71875,152038.46875,115364.5390625,208385.171875,814.8276977539062,925.3290405273438,770.203125,455.1787414550781,31020.197265625,38209.35546875,31895.59375,28743.69921875,13646.8896484375,10944.3046875,10727.474609375,11968.2470703125,8770,27.765565872192383,29.619047164916992,0,0,0,0,0,0,0,0,0,0,0,1,23.993288040161133,20.52347183227539,1004.8941650390624,229628.59375,4.463407039642334,0,9610322,True,BME690,21821,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:51.820,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,16.34,3700.0,3701.17,000000000DFEC3B1,0.0,0.06,22160332.0,0.0,0.56,22450161.0,300.0,293.16,000000000DFEC3B8,0.0,0.0,0.0,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3851.408935546875,4434.333984375,17198.076171875,33421.1484375,6438.3173828125,6304.0205078125,11026.7646484375,9524.47265625,755.3850708007812,1088.122802734375,9003.267578125,5634.11376953125,8156.48974609375,13830.3359375,2899.37060546875,5188.62744140625,5946.7255859375,803.6881103515625,8570.359375,7198.44091796875,275485.8125,114096.640625,30259.3359375,22953.736328125,877.6490478515625,693.1689453125,326.416015625,567.876220703125,5251.794921875,5489.77490234375,320.0711364746094,3494.716064453125,511.2867431640625,502.70941162109375,488.219482421875,377.2114562988281,2607.696533203125,1778.15234375,605.07958984375,904.6007080078124,4054.419921875,2381.290283203125,19412.126953125,9369.3515625,472.9087219238281,2284.205810546875,377.0582885742188,1906.27099609375,135532.078125,152077.0625,115350.1640625,208387.21875,815.3414916992188,927.0608520507812,768.7732543945312,455.940185546875,31029.259765625,38214.25,31899.025390625,28752.58984375,13652.412109375,10945.251953125,10727.208984375,11968.5361328125,9071,27.68498039245605,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.993288040161133,20.52347183227539,1004.8941650390624,229628.59375,4.463407039642334,0,9610322,True,BME690,21821,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:52.115,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,16.35,3700.0,3699.93,000000000DFEC3B1,0.0,0.06,22160332.0,0.0,0.67,22450161.0,300.0,294.43,000000000DFEC3B8,0.0,0.0,0.0,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3841.145263671875,4457.5693359375,17212.154296875,33457.03125,6436.9296875,6303.08544921875,11026.9375,9522.8974609375,754.9136962890625,1089.558349609375,8975.791015625,5641.86572265625,8141.6728515625,13827.39453125,2898.260009765625,5231.93017578125,5945.71337890625,803.3986206054688,8561.16796875,7219.93994140625,275481.09375,114077.9609375,30241.025390625,22955.484375,878.095458984375,692.129638671875,326.1125793457031,567.9769897460938,5261.5537109375,5485.61083984375,320.10797119140625,3476.861328125,511.432861328125,502.7019348144531,488.28363037109375,377.2345886230469,2608.2197265625,1778.2821044921875,605.008544921875,904.661865234375,4055.40576171875,2377.5517578125,19422.953125,9364.9951171875,473.0916442871094,2287.4814453125,377.1789245605469,1905.9276123046875,135496.71875,152070.296875,115366.8046875,208393.015625,814.18310546875,926.0150146484376,768.6104125976562,455.4566345214844,31021.51171875,38215.8203125,31889.328125,28752.0859375,13645.8115234375,10943.912109375,10727.0546875,11968.072265625,9372,27.604394912719727,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.99227905273437,20.52351951599121,1004.8950805664062,229146.859375,4.463161468505859,0,9610762,True,BME690,21822,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:52.418,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.83,16.35,3700.0,3698.34,000000000DFEC3B1,0.0,0.06,22160332.0,0.0,0.81,22450161.0,300.0,296.13,000000000DFEC3B8,0.0,0.0,0.0,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3812.93408203125,4437.578125,17206.697265625,33447.95703125,6437.17333984375,6301.9912109375,11028.3974609375,9523.5361328125,754.1004028320312,1089.55224609375,8975.9404296875,5639.501953125,8164.4951171875,13773.33984375,2895.08544921875,5209.93994140625,5935.2568359375,804.7868041992188,8604.4345703125,7219.1025390625,275450.0,114080.1171875,30242.26953125,22956.869140625,878.1363525390625,692.7378540039062,326.5897827148437,567.5497436523438,5258.06982421875,5493.65087890625,320.0570068359375,3479.374267578125,511.3426818847656,502.6463012695313,488.2348937988281,377.1964416503906,2607.628173828125,1778.46142578125,604.96142578125,904.7290649414062,4049.5859375,2370.500244140625,19410.564453125,9361.53515625,473.0064086914063,2295.539306640625,377.2564086914063,1911.262451171875,135493.96875,152060.484375,115361.75,208388.9375,816.5676879882812,926.2835083007812,770.265380859375,455.66204833984375,31021.759765625,38218.31640625,31882.935546875,28745.904296875,13648.638671875,10945.3740234375,10726.4296875,11969.013671875,9673,27.5238094329834,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.991943359375,20.523534774780277,1004.8959350585938,230841.84375,4.463081359863281,0,9611202,True,BME690,21823,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:52.719,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.83,16.36,3700.0,3696.77,000000000DFEC3B1,0.0,0.06,22160332.0,0.0,0.96,22450161.0,300.0,297.82,000000000DFEC3B8,0.0,0.0,0.0,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3824.846923828125,4436.08154296875,17191.18359375,33446.87109375,6436.8466796875,6303.060546875,11026.8486328125,9523.5703125,754.5038452148438,1090.0860595703125,9096.1435546875,5660.49560546875,8153.98828125,13737.6845703125,2892.18017578125,5230.7646484375,5957.2314453125,804.2601318359375,8588.50390625,7198.96240234375,275492.15625,114068.78125,30255.529296875,22960.5078125,878.2909545898438,692.3032836914062,326.3519287109375,567.6989135742188,5263.65380859375,5468.2861328125,320.06671142578125,3484.61572265625,511.3338317871094,502.7137451171875,488.25494384765625,377.1474304199219,2606.857177734375,1778.488037109375,605.0584716796875,904.7503051757812,4075.18994140625,2373.036376953125,19428.869140625,9367.25,473.2234802246094,2293.984619140625,377.38330078125,1913.4857177734373,135497.5,152126.984375,115389.265625,208402.0,815.9881591796875,926.3629760742188,770.1303100585938,455.6401062011719,31032.794921875,38215.9921875,31895.2734375,28754.37109375,13647.486328125,10941.3818359375,10725.9443359375,11968.470703125,9974,27.5238094329834,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.991943359375,20.523534774780277,1004.8959350585938,230841.84375,4.463081359863281,0,9611202,True,BME690,21823,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:53.021,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,16.38,3700.0,3696.5,000000000DFEC3B1,0.0,0.06,22160332.0,0.0,0.99,22450161.0,300.0,298.9,000000000DFEC3B8,-0.0,0.0,0.11,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3833.256103515625,4410.33544921875,17194.490234375,33453.91796875,6437.4931640625,6302.12744140625,11027.919921875,9523.2841796875,754.5502319335938,1088.615478515625,9020.9248046875,5630.671875,8163.7490234375,13799.3232421875,2899.671875,5183.12353515625,5924.22412109375,804.7935180664062,8642.4521484375,7230.63818359375,275454.375,114069.5703125,30254.3828125,22955.978515625,879.2708740234375,693.30908203125,326.4287414550781,567.7242431640625,5255.16796875,5494.5654296875,320.11358642578125,3495.236083984375,511.3337097167969,502.7373962402344,488.16900634765625,377.20550537109375,2607.0068359375,1778.297119140625,605.0520629882812,904.63916015625,4058.991455078125,2379.982421875,19420.2890625,9362.533203125,473.1082458496094,2302.188232421875,377.13128662109375,1909.222900390625,135519.9375,152042.171875,115377.1015625,208435.140625,815.4193115234375,925.5562133789062,770.0615234375,455.3711853027344,31023.462890625,38212.04296875,31876.990234375,28750.091796875,13648.0869140625,10944.2802734375,10725.60546875,11968.48828125,10275,27.68498039245605,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,23.991607666015625,20.535533905029297,1004.8968505859376,229870.21875,4.465604782104492,0,9611643,True,BME690,21824,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:53.320,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,16.39,3700.0,3697.83,000000000DFEC3B1,0.0,0.06,22160332.0,0.0,0.87,22450161.0,300.0,299.07,000000000DFEC3B8,-0.0,0.0,0.34,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3849.152099609375,4433.861328125,17197.876953125,33477.84765625,6436.61962890625,6303.04150390625,11026.87109375,9523.4453125,752.7760620117188,1089.6632080078125,9046.15234375,5659.1904296875,8175.82421875,13737.6318359375,2894.368408203125,5221.48779296875,5948.1240234375,802.7911376953125,8567.6474609375,7247.048828125,275416.8125,114093.0625,30257.115234375,22956.490234375,878.4542236328125,691.8330688476562,326.41265869140625,568.39404296875,5255.71240234375,5486.76513671875,320.0296325683594,3479.692626953125,511.4295959472656,502.6823425292969,488.0593566894531,377.1266479492188,2606.579345703125,1778.070068359375,605.1173706054688,904.7429809570312,4066.732421875,2372.843994140625,19430.62109375,9362.103515625,473.1370849609375,2296.384033203125,377.1088562011719,1906.451904296875,135532.03125,152037.390625,115361.1796875,208421.890625,814.9058837890625,926.2053833007812,770.6482543945312,455.1015319824219,31020.150390625,38215.81640625,31875.234375,28755.974609375,13648.02734375,10943.1572265625,10727.1875,11967.828125,10576,27.604394912719727,29.69963264465332,0,0,0,0,0,0,0,0,0,0,0,1,23.990936279296875,20.53556632995605,1004.8968505859376,233058.3125,4.4654412269592285,0,9612083,True,BME690,21825,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:53.623,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.85,16.41,3700.0,3699.18,000000000DFEC3B1,0.0,0.07,22160332.0,0.0,0.75,22450161.0,300.0,299.25,000000000DFEC3B8,0.0,0.0,0.58,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3833.5830078125,4440.4443359375,17204.00390625,33478.44140625,6436.81640625,6301.27783203125,11027.537109375,9523.408203125,753.9340209960938,1089.550048828125,9023.65234375,5658.27197265625,8160.9091796875,13721.216796875,2888.912353515625,5203.6494140625,5949.0615234375,802.9334716796875,8588.5849609375,7229.595703125,275436.9375,114091.0390625,30257.23046875,22957.26171875,877.8925170898438,692.3956909179688,326.2752685546875,567.2804565429688,5255.85400390625,5482.99658203125,320.0040283203125,3492.072998046875,511.4034118652344,502.6790466308594,488.2058410644531,377.105712890625,2607.290771484375,1778.13818359375,605.0509643554688,904.787109375,4061.78662109375,2378.544921875,19417.296875,9365.765625,473.5064086914063,2294.639892578125,377.15765380859375,1914.1610107421875,135507.703125,152071.765625,115373.421875,208438.390625,815.9622802734375,925.497314453125,770.1819458007812,454.8665771484375,31029.51953125,38219.30078125,31886.2734375,28748.494140625,13652.6298828125,10945.1162109375,10727.69921875,11967.931640625,10878,27.84615135192871,29.78021812438965,0,0,0,0,0,0,0,0,0,0,0,1,23.991607666015625,20.535533905029297,1004.8968505859376,232314.78125,4.465604782104492,0,9612524,True,BME690,21826,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:53.929,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.85,16.41,3700.0,3700.48,000000000DFEC3B1,0.0,0.07,22160332.0,0.0,0.63,22450161.0,300.0,299.3,000000000DFEC3B8,0.0,0.0,0.79,21470046.0
0000000027-0926-asu-nz,0000000009-1625-oms-nz,cleaningRFC,1b08119d-a38e-415f-87f1-682393d6a0ff,cdf3e7e9-fc5b-4026-8647-c4a72d8d93cb,3827.9560546875,4429.66064453125,17197.4296875,33483.34765625,6437.0087890625,6301.62548828125,11026.8740234375,9524.4248046875,753.0549926757812,1085.7510986328125,9057.3193359375,5646.81494140625,8167.94775390625,13759.2568359375,2897.79931640625,5225.13134765625,5946.0771484375,802.7674560546875,8630.953125,7204.2890625,275450.375,114100.921875,30253.337890625,22958.166015625,881.2156372070312,691.4639282226562,326.1361389160156,568.4865112304688,5255.18359375,5465.38330078125,320.0151672363281,3476.86083984375,511.335693359375,502.63189697265625,488.3255920410156,377.22760009765625,2607.7392578125,1778.1680908203125,605.1334228515625,904.7596435546876,4070.171630859375,2383.79931640625,19432.57421875,9364.7900390625,473.139892578125,2294.678955078125,376.82916259765625,1913.48583984375,135479.5625,152081.359375,115391.0546875,208456.734375,816.1815185546875,924.5547485351562,769.2271728515625,454.81451416015625,31028.908203125,38217.375,31879.740234375,28762.361328125,13647.533203125,10945.44140625,10727.1630859375,11968.966796875,11178,27.68498039245605,29.860803604125977,0,0,0,0,0,0,0,0,0,0,0,1,23.991607666015625,20.535533905029297,1004.8968505859376,232314.78125,4.465604782104492,0,9612524,True,BME690,21826,0,0,0,9608355,24484,0,28.33995819091797,13,,,"{'Type': 'start', 'Data_Type': 'Testing', 'Protocol_name': 'ABGv5MUXOff-0CLN-3AH-75ccm-Anthony-Q126', 'Trial_Details': {'RH': 0, 'group': 35, 'detail': 'N/A', 'trialnum': 35.5, 'TrialName': 'ASAU180926', 'identifier': 'Efr8P', 'Concentration': 0}, 'Experiment_Rig': 'DA9'}",,2026-03-12 20:45:54.223,"{'cid': '2f5ef13e-3c05-48a7-8f9b-2fed937c0edf', 'uuid': '8fa841af-dbaa-4806-92b4-08ae1361c1f4', 'annotationId': '1b08119d-a38e-415f-87f1-682393d6a0ff', 'name': 'cleaningRFC', 'description': 'cleaningRFC', 'labels': 'cleaningRFC', 'metadata': {'Length': 5, 'Progress': 0, 'startTime': 1773348350951, 'Notification': 'Event cleaningRFC Started.'}, 'createdAt': '2026-03-12T20:45:51.154Z', 'createdBy': '5c7b5d9f-c171-4004-a182-4277ffd4c9eb'}",22.84,16.42,3700.0,3701.28,000000000DFEC3B1,0.0,0.07,22160332.0,0.0,0.51,22450161.0,300.0,297.82,000000000DFEC3B8,-0.0,0.0,0.75,21470046.0
